Madura,Indonesia
kaceppek ngaceppek,bercakap-cakap dng suara yg ramai dan berlangsung agak lama
kacernang ngacernang,licinhalus menggairahkan
kacopok ngacopok,bercakap-cakap dng suara yg ramai dan berlangsung agak lama
kadar sakadar,sekedar
ta' kadhik,kadik` tak juga tanpa  
kadi akadi,sebagai seperti
kadirap ngadirap,berkilau-kilauan
kaeng akaeng,menyalak krn kesakitan 
kagali ngagali,mengetahui mengerti  
kaji ngaji,mengaji
kaka' kaballun,kabāllun` 
kakak ngakak,tertawa gelak-gelak terbahak-bahak
korse makan,kursi makan
meja makan,meja makan 
ngala' ate,ate` mengambil hatimuka
ngala' olle,olle` mengambil enaknya unt keuntungan diri sendiri dr hasil kerja orang lain
ngala' ontong,onton` mengambil keuntungan 
kalabu ngalabuwi,mengelabui
kalajat ngalajat,membungkuk ke belakang
kalambi kaos,singlet baju dlm dr bahan kaos
kalancar ngalancar,meleleh mencair 
kalang busbus,angin ribut angin puting beliung
kalang patten,empedu
kalanthang ngalanthang,menjemur unt memutihkan 
kala'nyar ngala'nyar,licin berkilauan
kalapak ngalapak,merata basah  meluap merata 
kalarbat ngalarbat,merambat menjalar
kalarbet ngalarbet,melentur smp menyapu tanah 
kalarkar ngalarkar,berserak tak menentu 
kalatteng ngalatteng,bergantung
sakale budhina,pd hari-hari ssd sekarang 
kalecer ngalecer,berliur 
mennya' kaleke,kaleke` minyak pohon jarak
pate' kaleke,kaleke` anjing yg berbadan kecil ttp dpt berlari cepat 
kalekkek ngalekkek,tertawa terkekeh
kalele le-kaleleyan,beralun-alun 
kalelet ngalelet,berkepanjangan
kalelle ngalelle,meleleh
kalemba' akalemba',menampak diri selintas
kalemes ngalemes,tak menjadi basah  tak membasahi
kalemkem ngalemkem,melembab
kalemmes mes-kalemmesan,tergontai-gontai 
kalempo' akalempo',berkumpul jadi satu
kalencap kalencaban,ketiak
kalencer ngalencer,berpesiar berjalan-jalan
kalengngap akalengngap,menghembuskan nafas satu persatu krn akan mati 
kalenjer kalenjeran,kelenjar
kaleppek akalepek,terkulai lemah
kalepper akalepper,terkulai lemah
kaler 1,celaka
kaler lar-kaler,hilir mudik kian kemari
kalerbe ngalerbe,terkulai krn terlalu panjang  atau krn tak lagi berdaging 
kalesser ngalesser,mendesir segar 
kaleta' akaleta',bergeletak terbaring
kaletor tor-kaletoran,terhuyung-huyung 
kalkal ngalkal,mendidih
kalocor ngalocor,tertumpah satu demi satu  bercucuran 
kalole ngalole,pikun 
kalonyo mennya' kalonyo,kaloño` minyak wangi eau de cologne
kalonyot ngalonyot,menelan 
kaloskos ngaloskos,menciumi semua bagian muka menciumi dng mesra
kalosot ngalosot,jatuhturun dng menggelincir
kalothok ngalothok,mudah terpisah dng bijinya
kalotor ngalotor,tertumpah satu demi satu 
kamar mandhi,kamar mandi 
bato kambang,batu kambang batu apung
damar kambang,lampu kambang 
kambang ngambang,membersihkan mata dng memasukkan muka ke dlm air
kambul ngambul,meninggalkan krn kecewa mutung ngambek
kambut ngambut,membesar 
kampel ngampel,memeluk erat-erat
kampong akampong,kawin
kanca kenthel,sahabat karib 
kancer car-kancer,hilir mudik kian kemari
tanang kangan,tangan kanan orang kepercayaan
teppong kanji,tepung kanji
kantok ngantok,mengantuk
kapala kantor,kepala kantor 
kaos soko,kaos kaki 
kapa pa-kapa,sadel kuda
kapal perrang,kapal perang
kapal sellem,kapal selam 
kapala daerah,kapala daerah
landhana kapor,air kapur 
kapor barna,kapur berwarna
kapprang prang-takapprang,pontang panting lintang pukang kusak-kusuk
kara ra-kara,kara-kara  daun siwalan 
kara' akara',meradang menangis keras
amaen kartu,berjudi dng kartu
kartu nyama,kartu nama 
atempo kata',duduk bersimpuh spt katak
kata' seldung,katak  
kates rambay,pepaya gantung 
budhu' kaula,kaula` 
kayang kayangan,kahyangan
kayang akayang,membungkuktelentangkan badan smp dpt berdiri di atas kedua belah tangan
keban ban-keban,bawaan barang yg dibawa serta
kebba' akebba',terbuka krn tertiup angin
kebbat ngebbat,menguap
kebbi' akebbi',menggerakkan bibir mau berbicara
kebbun raja,kebun raya $
keddal akeddal,menggerak-gerakkan kaki dan tangan sewaktu berenang
keddhak sakeddhagan,selintas sejenak lalu
keddu' takeddu',terkilir 
kedha' takedha',terkejut kaget dan tertegun
kejjel ngejjel,mengangis kejang
keka akeka,menyelamati anak yg sdh meninggal dng hewan 
keka' akeka',berjalan dng mengangkang
keke kekeyan,gasing 
tappor kelap,sambar 
kelem akelem,bermalam
kelkel ngelkel,tertawa terpingkal-pingkal
kelkel ngelkel,menyembelih smp leher akan putus sama sekali
kembang mata are,are`
kembul ngembuli,melakukan bersama-sama
kemmeng ngemmeng,terendam smp ketepi 
oreng kene',orang kebanyakan rakyat jelata
tonju' kene',kelingking 
ta' kenneng pellang,tak bisa ditahan  
bulan takepe',bulan zulkaidah  
kerras ta'akerres,keras tapi tak berani berani hanya di mulut saja 
kapal kerru',kapal keruk
keter keteran,burung perkutut
ketes aketes,menggerakkan tangan unt menghilangkan air yg melekat
kethas takethas,lampau dr waktu yg ditentukan 
ketheng saketheng,setengah sen
ketheng labang saketheng,gapura lawang seketeng 
kettek ngettek,pulas
ketter ngetter,mengigil 
kettes akettes,menggerakkan tangan unt menghilangkan air yg melekat
ketthak ngetthak,mengadakan bunyi dng menyentuhkanmenekankan lidah pd langit-langit keras
ketthak pote ngetthak,aniat putih putih bersih
ketthek ngetthegi,memanggil dng memetikkan jari
ketthok ngetthok,mengetok
kettos tadha' kettosanna,kettosanna` tidak ada kabarnya kembali  
kocek ngocek,menggosok mata 
kocor ngocor,memancur karena bocor
koda da-koda,kuda-kuda 
poro koko,borokluka pd kuku 
roko' kole'na jagung,kolena jāgun` rokok klobot 
dhem-dhemdhem kolek,kolek` 
kolot ngolot,mengemaskan barang-barang dagangan
titi' koma,koma` 
somor kompa,sumur pompa 
konco'na soso,pentil susu 
konye' gunong,seadanya   
ko'ong bunter,yatim piatu 
biddang kopi,air kopi
korang ajar,kurang ajar  
idul korban,idul adha
letnan kornel,letnan kolonel 
koros kerreng,kurus kering 
korse males,kursi malas
korse salon,kursi tamu 
tokang kose',tukang kosek 
kotap ngotap,memukul dahi dng bagian ujung tangan
kothem ngothem,memukul kepala dng kepalan tangan
kothok thok-kothok,anak ayam
kothok thok-kothongan,air kopi terakhir air kopi ringan
kothok ngothok,meminta dng merayu
kottha maddya,kota madya
kottha praja,kota praja 
ja' kowe ja' kowae,kowae`
kower ngower,mengingsut sesuatu dng kaki
krim es krim,es krim 
kroksak ngaroksak,berbunyi spt daun kering ijatuh
kuwe lapis,kue lapis 
san la,sesudah 
laba ba-laba,laba-laba
palangnga labang,palang pintu 
labat alalabat,melayat orang meninggal
labbu alabbu,berjalan dibawah hujan
labun lasteng,kain hitam
labun matta,blacu mori 
laccong cong-laocong,bunga bangkai
alagan an,berlangganan
laja ja-nyalaja,ada pada tempat yang sendiri-sendiri
lajang lajangan,layang-layang
parao lajar,perahu layar
parao lajaran,perahu yang sering berlayar ke luar daerah
lajing olar lajing,sb ular gantung yg berbisa 
ja' lakar,lakar`
lakar lakaran,lakaran satuan kecil-kecil 
ta' kalake',kalake` impoten mandul 
lakon lalakon,pekerjaan
laksa salaksa,salaksa sepuluh ribu
lala' buta,buta`
lalar alalar,mengucapkan kata tanpa berlaguberirama
lalu lalu lintas,lalu lintas 
gi' lamba,lambā` pada masa dahulu 
lamon ngalamon,melamun
lampe' alampe',megambil minyak kelapa dengan mendidih kopra di mesin pendidih
mennya' lampe'an,lampean` minyak kelapa hasil lampe  
lampo' talampo'anna ate,anna ate` 
lampu sorot,lampu sorot
lampu listrik,lampu listrik 
lanang palanangan,kemaluan laki-laki 
lancang tanang,panjang tangan 
lanceng lancen paceng,jejaka tulen 
landhi llandhiyan,peggangan 
langga alangga,ikut nendengarkanmeminati 
langsar sar-langsaran,bekas 
lanjang raja,tinggi besar  
lantar lantaran,sebab karena
bara' lao',lao` barat daya
temor lao',lao` tenggara
lapangan terbang,lapangan terbang lapangan udara 
budhu'na legan,batu giling batu pipis
dhu' lekor,dua puluh dua
lema' ratos,lima ratus
pandhaba lema',pendawa lima sesaudara 
nobi' lenyeng,mencubit halus dan terasa pedih 
samper lereng,kain panjang bercorak liris 
ujiyan lesan,ujian lisan 
samper liris,kain panjang bercorakbergaris-garis 
salang lompo,lumpuh krn lapar honger oedeem 
mate loppa,lupa sama sekali 
oreng luwar,orang luar  orang desa 
ma' kadhik,lalu
ma' le,biar jadi
tar ma',masakan  
ma' aja,nenek moyang 
ta' mabi,tak usah tanpa  
macan remrem,macan yg dpt memanjat
macan toltol,macan tutul 
pao maddu,mangga madu 
maen pacca',bermain kuat-kuatan tangan
amaen pot,bermain kelereng dgn aturan petak 
rengnge' malariya,nyamuk malaria
sake' malariya,sakit malaria 
sadhu' malem,besok lusa
tengnga malem,tengah malam 
celleng manes,hitam manis
tonju' manes,jari manis 
matoron manggar,mencampakkan jangkar 
mano' poter,sb perkutut sebesar burung merpati burung puter
mano' thok-thok,burung ketok 
elmo manossa,ilmu manusia 
onjang manto,undang menantu 
bilis mardha,semut yg terasa panas menggigit spt kena api  
nagara mardika,negara merdeka 
nyare marga,mencari sebab sengketa 
tokang mas,pandai mas 
masa alla,masya allah  
massa' bungka,masak di pohon 
mata are,matahari
meja toles,meja tulis
sompa membar,sumpah di mesjid dekat mimbar 
mennya' nyeyor,minyak kelapa
mennya' pote,minyak kayu putih
mennya' ro'om,minyak harum
mennya' samin,minyak samin
mennya' sulin,bensin 
babang mera,bawang merah 
mesem belibis,tersenyum dikulum 
messin ettong,mesin hitung
messin sassa,mesin cuci
messin tik,mesin tik 
kilo meter,kilo meter
senti meter,senti meter 
jambu monyet,jambu monyet
motor sedhan,mobil sedan
motor taksi,mobil taksi
sapedha motor,sepeda motor 
mar-samar mowa,terang terbang lalat hampir pagi
nante' gallu,nanti dulu sebentar lagi 
nase' rames,nasi rames
nase' tim,nasi lunak hampir spt bubur
nem bellas,enam belas
nem lekor,dua puluh enam 
nyama daging,nama kecil
papan nyama,papan nama 
mennya' nyaman,minyak goreng
sake' lo-nyelo,sakit rematik 
ngocol paju,membiarkan tak terurus 
ga-raga odhang,meraba-raba dlm gelap
otek odhang,bodoh 
aeng odhi',air hidup air yg selalu mengalir
bato oji,batu uji 
ola' bulu,ulat bulu
ola' pate',ulat berwarna hijau perusak daun-daunan
poro ola',kadas kudis 
olar naga,ular naga
olar saba,ular sawah 
pote olay,pucat pasi 
olesa bantal,sarung bantal
olesa guling,sarung guling 
ta' olle,tak boleh tak dapat 
marenge oneng,memberitahukan 
ongga ajji,naik haji
oreng raja,pembesar
oreng towa,orang tua ayah dan ibu
noro' patona oreng,sudah kawin
reng-orenganna mata,orang-orangan mata
ta' osa,tanpa tak usah tak perlu 
ra-bara oto',bengkak-bengkak sekujur badan 
padha sareng,sama dengan 
taman pahlawan,taman pahlawan 
parao majang,perahu penangkap ikan
oreng majangan,penangkap ikan  
pajjar laggu,fajar pagi
pala' bacca,pisang yg digoreng yg dimakan dengan gula 
palotan etem,ketan hitam 
barang panas,barang yg diperoleh dari kerja yg tidak baik
panas barang,banyak dosa banyak membawa sial
panas perro',panas hati
panas thes,panas terik
pesse panas,uang panas 
tokang panatu,tukang penatu 
tadha' pancal balina,tdk ada kabarnya kembali tdk ada beritanya kembali 
meltas panjalin,cara jalan yang mempesonakan 
pao gole',mangga golek
pao tabar,mangga yg berbentuk spt jantung 
papan toles,papan tulis 
tokang papar,tukang papar 
pe-sapeyan pappa,diperalat 
tokang paras,juru rias  
mate saparo,mati setengah badan 
masagi empa',persegi empat
masagi tello',persegi tiga 
jajan pasar,kue pasar
pasar malem,pasar malam
mata tengnga,meluruskan punggung  
mate poco',mati tanpa meninggalkan turunan
pate' alas,srigala anjing hutan
megga' balabar,mengizinkan masuk stl bersoal jawab dlm tembang menembang atau pantun memantun  
tokang pekat,pemikat   
tokang pelet,tukang pijat 
penggir sereng,pinggir pantai 
erra' pereng,rak piring
perrang colo',perang mulut
perreng cena,bambu cina bambu kuning
tadha' perro'na,tdk mempunyai perasaan keji 
pesse dalubang,uang kertas
pesse suwap,uang suap
pesse tempes,uang receh 
gi' petteng,pagi-pagi benar
petto' bellas,tujuh belas
petto' lekor,dua puluh tujuh
pettong polo,tujuh puluh 
pola tengka,tingkah laku perbuatan 
kadi ponapa,mengapa bagaimana  
bulan pornama,bulan purnama terang bulan 
babang pote,bawang putih
roko' pote,rokok sigaret 
es poter,es putar 
sorat kapotosan,surat keputusan 
pottre tadhus,bunga sekejut putri malu 
pulisi rasersa,polisi rahasia 
ijab qabul,ijab kabul 
rahem il,rahim kandungan
raja ate,besar hati 
lomare rasa,lemari kaca raksa 
sol-rasol saba,selamatan seadanya selamatan sederhana 
ta nyaman rassa,tidak enak badan 
rato bine',ratu
dhu ratos,dua ratus
pa' ratos,empat ratus 
kadholadan ra'yat,kedaulatan rakyat 
ka'-rekka' bau,ada hubungan famili 
sorat rekkes,surat permohonan 
suka rela,suka rela 
dhukon rembi',dukun beranak 
angen ribut,angin besar angin topan 
roko' manela,cerutu
rokon islam,rukun islam 
roma sake',rumah sakit
roma tangga,rumah tangga 
sa' wasangka,sak wasangka 
sabban are,tiap hari 
sake' bato',sakit paru-paru tbc
sake' jantung,sakit jantung
sake' sara,sakit keras
sake' tabu',sakit perut
sala wesel,salah tangkap salah terka 
talena salebbar,tali celana dalam  kolor 
sang tabu',perutku 
sanga' lekor,dua puluh sembilan
sangang polo,sembilan puluh 
asangle' soko,bersilang kaki 
kembang sapatu,bunga sepatu kembang sepatu
semmer sapatu,semir sepatu 
tarompana sape,terompah sapi 
po-sapo ejjuk,sapu ijuk
po-sapo lente,sapu lidi 
se ano,si anu si fulan
celleng seddha',hitam manis 
tokang seher,penyihir 
sela bariya,walaupun begitu
socana sello',mata cincin 
sala settong,salah seorang 
soko tanang,kaki tangan komplot
sombajang sonnat,sembahyang sunah 
somor tanto,sumur tua yg tidak diketahui siapa yang membuatnya 
tokang sonnat,tukang sunat
bajang sonnat,sembahyang sunah
salat sonnat,sembahyang sunah
sorat budhek,surat kaleng
