No,I
27/ 09/ 2022,"40,850"
28/ 09/ 2022,"38,350"
29/ 09/ 2022,"37,500"
30/ 09/ 2022,"37,500"
03/ 10/ 2022,"38,350"
04/ 10/ 2022,"38,350"
05/ 10/ 2022,"38,350"
06/ 10/ 2022,"38,350"
07/ 10/ 2022,"38,350"
10/ 10/ 2022,"40,000"
11/ 10/ 2022,"40,000"
12/ 10/ 2022,"40,000"
13/ 10/ 2022,"40,000"
14/ 10/ 2022,"40,000"
17/ 10/ 2022,"40,000"
18/ 10/ 2022,"40,000"
19/ 10/ 2022,"39,150"
20/ 10/ 2022,"39,150"
21/ 10/ 2022,"39,150"
24/ 10/ 2022,"38,000"
25/ 10/ 2022,"38,000"
26/ 10/ 2022,"38,000"
27/ 10/ 2022,"38,000"
28/ 10/ 2022,"38,000"
31/ 10/ 2022,"39,650"
01/ 11/ 2022,"39,650"
02/ 11/ 2022,"39,650"
03/ 11/ 2022,"39,650"
04/ 11/ 2022,"39,650"
07/ 11/ 2022,"39,650"
08/ 11/ 2022,"39,650"
09/ 11/ 2022,"39,650"
10/ 11/ 2022,"39,650"
11/ 11/ 2022,"38,850"
14/ 11/ 2022,"37,150"
15/ 11/ 2022,"37,150"
16/ 11/ 2022,"37,150"
17/ 11/ 2022,"37,150"
18/ 11/ 2022,"37,150"
21/ 11/ 2022,"38,000"
22/ 11/ 2022,"38,000"
23/ 11/ 2022,"38,000"
24/ 11/ 2022,"38,000"
25/ 11/ 2022,"37,150"
28/ 11/ 2022,"37,150"
29/ 11/ 2022,"37,150"
30/ 11/ 2022,"37,150"
01/ 12/ 2022,"37,150"
02/ 12/ 2022,"37,150"
05/ 12/ 2022,"37,150"
06/ 12/ 2022,"37,150"
07/ 12/ 2022,"37,150"
08/ 12/ 2022,"37,150"
09/ 12/ 2022,"37,150"
12/ 12/ 2022,"36,350"
13/ 12/ 2022,"36,350"
14/ 12/ 2022,"36,350"
15/ 12/ 2022,"36,350"
16/ 12/ 2022,"36,350"
19/ 12/ 2022,"36,650"
20/ 12/ 2022,"36,650"
21/ 12/ 2022,"36,650"
22/ 12/ 2022,"36,650"
23/ 12/ 2022,"36,650"
26/ 12/ 2022,"36,650"
27/ 12/ 2022,"35,400"
28/ 12/ 2022,"37,500"
29/ 12/ 2022,"37,500"
30/ 12/ 2022,"37,500"
02/ 01/ 2023,"40,850"
03/ 01/ 2023,"41,650"
04/ 01/ 2023,"41,650"
05/ 01/ 2023,"41,650"
06/ 01/ 2023,"43,350"
09/ 01/ 2023,"45,000"
10/ 01/ 2023,"45,000"
11/ 01/ 2023,"45,000"
12/ 01/ 2023,"45,000"
13/ 01/ 2023,"45,000"
16/ 01/ 2023,"45,000"
17/ 01/ 2023,"45,000"
18/ 01/ 2023,"45,000"
19/ 01/ 2023,"46,650"
20/ 01/ 2023,"49,150"
23/ 01/ 2023,"49,150"
24/ 01/ 2023,"49,150"
25/ 01/ 2023,"49,150"
26/ 01/ 2023,"49,150"
27/ 01/ 2023,"49,150"
30/ 01/ 2023,"48,350"
31/ 01/ 2023,"47,500"
01/ 02/ 2023,"49,150"
02/ 02/ 2023,"49,150"
03/ 02/ 2023,"49,150"
06/ 02/ 2023,"51,650"
07/ 02/ 2023,"51,650"
08/ 02/ 2023,"51,650"
09/ 02/ 2023,"51,650"
10/ 02/ 2023,"51,650"
13/ 02/ 2023,"44,150"
14/ 02/ 2023,"44,150"
15/ 02/ 2023,"44,150"
16/ 02/ 2023,"44,150"
17/ 02/ 2023,"43,350"
20/ 02/ 2023,"40,850"
21/ 02/ 2023,"40,850"
22/ 02/ 2023,"41,650"
23/ 02/ 2023,"41,650"
24/ 02/ 2023,"41,650"
27/ 02/ 2023,"41,650"
28/ 02/ 2023,"41,650"
01/ 03/ 2023,"42,500"
02/ 03/ 2023,"42,500"
03/ 03/ 2023,"44,150"
06/ 03/ 2023,"43,350"
07/ 03/ 2023,"42,500"
08/ 03/ 2023,"42,500"
09/ 03/ 2023,"42,500"
10/ 03/ 2023,"41,650"
13/ 03/ 2023,"41,650"
14/ 03/ 2023,"41,650"
15/ 03/ 2023,"41,650"
16/ 03/ 2023,"41,650"
17/ 03/ 2023,"41,650"
20/ 03/ 2023,"41,650"
21/ 03/ 2023,"41,650"
22/ 03/ 2023,"41,650"
23/ 03/ 2023,"41,650"
24/ 03/ 2023,"41,650"
27/ 03/ 2023,"41,650"
28/ 03/ 2023,"41,650"
29/ 03/ 2023,"40,000"
30/ 03/ 2023,"41,950"
31/ 03/ 2023,"40,000"
03/ 04/ 2023,"39,150"
04/ 04/ 2023,"40,000"
05/ 04/ 2023,"40,000"
06/ 04/ 2023,"40,000"
07/ 04/ 2023,"40,000"
10/ 04/ 2023,"40,850"
11/ 04/ 2023,"40,850"
12/ 04/ 2023,"40,850"
13/ 04/ 2023,"40,850"
14/ 04/ 2023,"40,850"
17/ 04/ 2023,"47,500"
18/ 04/ 2023,"47,500"
19/ 04/ 2023,"47,500"
20/ 04/ 2023,"47,500"
21/ 04/ 2023,"47,500"
24/ 04/ 2023,"47,500"
25/ 04/ 2023,"47,500"
26/ 04/ 2023,"55,000"
27/ 04/ 2023,"55,000"
28/ 04/ 2023,"55,000"
01/ 05/ 2023,-
02/ 05/ 2023,"55,000"
03/ 05/ 2023,"58,350"
04/ 05/ 2023,"58,350"
05/ 05/ 2023,"58,350"
08/ 05/ 2023,"55,000"
09/ 05/ 2023,"55,000"
10/ 05/ 2023,"52,350"
11/ 05/ 2023,"54,150"
12/ 05/ 2023,"54,150"
15/ 05/ 2023,"52,500"
16/ 05/ 2023,"52,500"
17/ 05/ 2023,"52,500"
18/ 05/ 2023,"52,500"
19/ 05/ 2023,"52,500"
22/ 05/ 2023,"52,500"
23/ 05/ 2023,"52,500"
24/ 05/ 2023,"52,500"
25/ 05/ 2023,"52,500"
26/ 05/ 2023,"53,350"
29/ 05/ 2023,"49,150"
30/ 05/ 2023,"49,150"
31/ 05/ 2023,"49,150"
01/ 06/ 2023,"49,150"
02/ 06/ 2023,"49,150"
05/ 06/ 2023,"50,000"
06/ 06/ 2023,"50,000"
07/ 06/ 2023,"50,000"
08/ 06/ 2023,"50,000"
09/ 06/ 2023,"50,000"
12/ 06/ 2023,"50,000"
13/ 06/ 2023,"50,000"
14/ 06/ 2023,"50,000"
15/ 06/ 2023,"50,000"
16/ 06/ 2023,"50,000"
19/ 06/ 2023,"46,650"
20/ 06/ 2023,"46,650"
21/ 06/ 2023,"46,650"
22/ 06/ 2023,"46,650"
23/ 06/ 2023,"46,650"
26/ 06/ 2023,"45,850"
27/ 06/ 2023,"45,850"
28/ 06/ 2023,"45,850"
29/ 06/ 2023,"45,850"
30/ 06/ 2023,"45,850"
03/ 07/ 2023,"45,000"
04/ 07/ 2023,"45,000"
05/ 07/ 2023,"44,150"
06/ 07/ 2023,"44,150"
07/ 07/ 2023,"42,500"
10/ 07/ 2023,"40,000"
11/ 07/ 2023,"40,000"
12/ 07/ 2023,"40,000"
13/ 07/ 2023,"40,000"
14/ 07/ 2023,"40,000"
17/ 07/ 2023,"38,000"
18/ 07/ 2023,"38,000"
19/ 07/ 2023,-
20/ 07/ 2023,"38,000"
21/ 07/ 2023,"38,850"
24/ 07/ 2023,"37,500"
25/ 07/ 2023,"36,650"
26/ 07/ 2023,"35,850"
27/ 07/ 2023,"35,850"
28/ 07/ 2023,"35,850"
31/ 07/ 2023,"35,850"
01/ 08/ 2023,"35,850"
02/ 08/ 2023,"35,850"
03/ 08/ 2023,"35,850"
04/ 08/ 2023,"35,850"
07/ 08/ 2023,"35,000"
08/ 08/ 2023,"35,000"
09/ 08/ 2023,"35,000"
10/ 08/ 2023,"35,000"
11/ 08/ 2023,"35,000"
14/ 08/ 2023,"35,000"
15/ 08/ 2023,"35,000"
16/ 08/ 2023,"35,000"
17/ 08/ 2023,"35,000"
18/ 08/ 2023,"35,000"
21/ 08/ 2023,"35,000"
22/ 08/ 2023,"35,000"
23/ 08/ 2023,"35,000"
24/ 08/ 2023,"35,000"
25/ 08/ 2023,"35,000"
28/ 08/ 2023,"35,000"
29/ 08/ 2023,"35,000"
30/ 08/ 2023,"35,000"
31/ 08/ 2023,"35,000"
01/ 09/ 2023,"35,000"
04/ 09/ 2023,"35,000"
05/ 09/ 2023,"35,000"
06/ 09/ 2023,"35,000"
07/ 09/ 2023,"35,000"
08/ 09/ 2023,"35,000"
11/ 09/ 2023,"35,000"
12/ 09/ 2023,"35,000"
13/ 09/ 2023,"35,000"
14/ 09/ 2023,"35,000"
15/ 09/ 2023,"35,000"
18/ 09/ 2023,"35,000"
19/ 09/ 2023,"35,000"
20/ 09/ 2023,"35,000"
21/ 09/ 2023,"35,000"
22/ 09/ 2023,"34,150"
25/ 09/ 2023,"32,150"
26/ 09/ 2023,"32,150"
27/ 09/ 2023,"32,500"
28/ 09/ 2023,"32,500"
29/ 09/ 2023,"32,500"
02/ 10/ 2023,"32,500"
03/ 10/ 2023,"32,500"
04/ 10/ 2023,"32,500"
05/ 10/ 2023,"32,500"
06/ 10/ 2023,"32,500"
09/ 10/ 2023,"32,500"
10/ 10/ 2023,"32,500"
11/ 10/ 2023,"32,500"
12/ 10/ 2023,"32,500"
13/ 10/ 2023,"32,500"
16/ 10/ 2023,"32,500"
17/ 10/ 2023,"32,500"
18/ 10/ 2023,"32,500"
19/ 10/ 2023,"32,500"
20/ 10/ 2023,"32,500"
23/ 10/ 2023,"30,850"
24/ 10/ 2023,"30,850"
25/ 10/ 2023,"30,850"
26/ 10/ 2023,"30,850"
27/ 10/ 2023,"30,850"
30/ 10/ 2023,"32,500"
31/ 10/ 2023,"33,350"
01/ 11/ 2023,"33,350"
02/ 11/ 2023,"33,350"
03/ 11/ 2023,"33,350"
06/ 11/ 2023,"37,500"
07/ 11/ 2023,"37,500"
08/ 11/ 2023,"38,350"
09/ 11/ 2023,"38,350"
10/ 11/ 2023,"38,350"
13/ 11/ 2023,"35,850"
14/ 11/ 2023,"35,850"
15/ 11/ 2023,"35,850"
16/ 11/ 2023,"35,850"
17/ 11/ 2023,"36,650"
20/ 11/ 2023,"37,500"
21/ 11/ 2023,"36,650"
22/ 11/ 2023,"36,650"
23/ 11/ 2023,"36,650"
24/ 11/ 2023,"36,650"
27/ 11/ 2023,"36,650"
28/ 11/ 2023,"36,650"
29/ 11/ 2023,"36,650"
30/ 11/ 2023,"36,650"
01/ 12/ 2023,"36,650"
04/ 12/ 2023,"37,150"
05/ 12/ 2023,"37,150"
06/ 12/ 2023,"37,150"
