no,Madura,Indonesia,hal,buku kelas
65.0,"Enten keya, nape ja' bauna lakar baceng ban ce'antemma kose marengsa dha' kabadha'an magarsare se badha e dhinto,","Tunggu dulu, apa karena baunya memang busuk dan sangat menyengat sampai membuat iba pada keadaan penduduk yang ada di sini,",5,oreng-oreng palang
66.0,Nyamana dika ganeko ngolangana careta jaman lamba,Namanya itu kamu mengulangi cerita zaman dulu.,5,oreng-oreng palang
67.0,"Lamba' gi' jaman jahiliyah, manossa ta' tao dat-adadan agama ban ta' tao ka atoran","Dulu masih zaman jahiliyah, manusia tidak tahu sopan santun agama dan tidak tahu aturan.",5,oreng-oreng palang
68.0,"Sabatara bula, dika, dan Satnan neko kan coma manossa biyasa, banne Pangeran se ngagunge guli enneng dibi","Sementara saya, kamu, dan Satnan ini kan cuma manusia biasa, bukan Tuhan yang memiliki dunia ini sendiri.",5,oreng-oreng palang
69.0,"Napepole lanceng ganeko lakar pajat gu-onggu ta' bisa arabat aba'na, sakeng dhari sake'na","Apalagi anak gadis itu memang benar-benar tidak bisa merawat dirinya, karena sakitnya.",5,oreng-oreng palang
70.0,Ra-kera ba' endha'a saompamana badha oreng se tega nyangaja dika,Kira-kira bagaimana seumpama ada orang yang tega menyakitimu.,5,oreng-oreng palang
71.0,Dika kan pon to dibi' ja' lanceng ganeko ta' etemmo balana dan asalla,Kamu kan sudah tahu sendiri kalau anak gadis itu tidak ditemukan kerabat dan asalnya.,5,oreng-oreng palang
72.0,"Sahwi sajan majarna' ka kancana se kadhuwa, bi-lebbi ka Brudin se abak anapso dhalem ngadhebbi masala areya","Sahwi semakin menjelaskan kepada kedua temannya, terlebih lagi kepada Brudin yang bernafsu dalam menghadapi masalah ini.",5,oreng-oreng palang
73.0,"Pas baramma saterrossa, nape gi' epapagguna nyandhadhut e bungkella nangka","Lalu bagaimana seterusnya, apa masih dibiarkan saja meringkuk di pangkal pohon nangka.",5,oreng-oreng palang
74.0,Satnan buru nyam-bit ka kandhana ca-kancana,Satnan baru menyahut pada perkataan teman-temannya.,5,oreng-oreng palang
75.0,"Ba, enggi, enten","Begini, iya, tunggu.",5,oreng-oreng palang
76.0,"Enga' neko bai, dhaggi malem bula, dika, dan Brudin maddha entar nyabis ka Pa'Tenggi","Begini saja, nanti malam saya, kamu, dan Brudin bersama-sama pergi menghadap ke Pak Kepala Desa.",5,oreng-oreng palang
77.0,"baramma-baramma karembak se kera daddiya nyaman ka oreng kabbi kalaban badhana masala neko,","bagaimana-bagaimana rembuk yang sekiranya membuat nyaman untuk semua orang dengan adanya masalah ini,",6,oreng-oreng palang
78.0,jarna'na Sahwi ka se kadhuwa,jelas Sahwi kepada keduanya.,6,oreng-oreng palang
79.0,Arena se ondhung la kare sacengkang,Matahari yang condong sudah tinggal sejengkal.,6,oreng-oreng palang
80.0,"Brudin, Sahwi, dan Satnan padha mole ka bengkona bang-sebang","Brudin, Sahwi, dan Satnan sama-sama pulang ke rumahnya masing-masing.",6,oreng-oreng palang
81.0,Padha nekkem janji se atemmowa pole dhaggi' malem e dalemma Pa' Tenggi,Sama-sama memegang janji untuk bertemu lagi nanti malam di rumah Pak Kepala Desa.,6,oreng-oreng palang
82.0,Lanceng se abauwan paggun nyandhadhut padhana se atapa e bungkella nangka,Anak gadis yang bau itu tetap meringkuk seperti sedang bertapa di pangkal pohon nangka.,6,oreng-oreng palang
83.0,Mela dhari jareya oreng bannya'se nyebbut lanceng jareya kalaban nyama Ka-cong Nangka,Oleh karena itu orang banyak menyebut anak gadis itu dengan nama Kacong Nangka.,6,oreng-oreng palang
84.0,"Kadhang ekala' gampang pandha'na, Cong Nangka","Kadang diambil singkatnya saja, Cong Nangka.",6,oreng-oreng palang
85.0,Tanges berruy raja kene,Tangisan meraung-raung dari yang tua dan yang muda.,6,oreng-oreng palang
86.0,"Tadha'se bangal ma'-semma', apapole ra'-para' arabat","Tidak ada yang berani mendekat, apalagi mendekat untuk merawat.",6,oreng-oreng palang
87.0,"Ja' gan sampe' ngabas ban nyedding, nyeyom bau dhari jauna bai la ngota'a","Jangankan sampai melihat dan menyentuh, mencium baunya dari jauh saja sudah membuat muntah.",6,oreng-oreng palang
88.0,Sakeng dhari bucco'na badanna Cong Nangka se ekaromo'ola'ban lala,Karena busuknya badan Cong Nangka yang dikerubungi oleh lalat.,6,oreng-oreng palang
89.0,"Ra'-tera' tana daddi bang-rabanganna mata, tandha are ngerrem abasiyat adina pessen ka bulan ban bintang se aganteya karaja'anna e pandhapa malem","Jejak di tanah menjadi ilalang di mata, tanda hari terbenam mewasiatkan pesan kepada bulan dan bintang yang mengganti tugasnya di pendopo malam.",6,oreng-oreng palang
90.0,E gar-langgar padha mamonye rong-corong tandhana adan Mangrib ban dikkerra bakal emolae,Di surau-surau saling bersahutan membunyikan pengeras suara pertanda azan Magrib dan zikir akan dimulai.,6,oreng-oreng palang
91.0,Kacong-cebbing rik-birigan nyo'on Qur'an nojju ka langgar,Anak-anak laki-laki dan perempuan berlarian kecil membawa Al-Qur'an menuju ke surau.,6,oreng-oreng palang
92.0,"Bakto jareya keya, Cong Nangka se nanges, se aserro, se aberruy pas laju ambu maske tadha' oreng se nyoro","Waktu itu juga, Cong Nangka yang menangis, yang menjerit, yang meraung-raung lalu berhenti meskipun tidak ada orang yang menyuruh.",6,oreng-oreng palang
93.0,"Abareng bi' toronna na'-kana' se ngaji e langgar, Satnan, Brudin, ban Sahwi ajalan areng-bareng arampak nojju ka dalemma Pa' Tenggi","Bersamaan dengan pulangnya anak-anak yang mengaji di surau, Satnan, Brudin, dan Sahwi berjalan bersama-sama serempak menuju ke rumah Pak Kepala Desa.",7,oreng-oreng palang
94.0,Tojjuwan se emaksod abak-rembaga masala se la marengsa magarsare sakam-pong,Tujuan yang dimaksud adalah merembukkan masalah yang sudah menyusahkan penduduk sekampung.,7,oreng-oreng palang
95.0,Tadha' laen coma masala Cong Nangka,Tidak lain hanya masalah Cong Nangka.,7,oreng-oreng palang
96.0,"Pa'Tenggi toron dhari langgar,se abajang Isa","Pak Kepala Desa turun dari surau, sehabis salat Isya.",7,oreng-oreng palang
97.0,"Mare jareya, pas maos sorat kabar se eobange gella' gi' laggu","Setelah itu, lalu membaca surat kabar yang dibawanya tadi pagi.",7,oreng-oreng palang
98.0,"Dhari pa-apa se emaos, rassana badha kabar se sampe'matongga","Dari apa-apa yang dibaca, rasanya ada kabar yang sampai membuat tercengang.",7,oreng-oreng palang
99.0,"O-tao, Pa' Tenggi emot ka lanceng se aporowan neng e babana nangka","Atau, Pak Kepala Desa teringat pada anak gadis kurus kering yang ada di bawah pohon nangka.",7,oreng-oreng palang
100.0,Pa' Tenggi apetanya ka rajina,Pak Kepala Desa bertanya kepada istrinya.,7,oreng-oreng palang
101.0,Tape rajina akepek,Tapi istrinya hanya diam.,7,oreng-oreng palang
102.0,"Sabellunna Pa' Tenggi ngaolle jawaban dhari rajina, e lowar badha sowarana oreng nokthok labang sambi ngolok salam","Sebelum Pak Kepala Desa mendapat jawaban dari istrinya, di luar ada suara orang mengetuk pintu sambil mengucap salam.",7,oreng-oreng palang
103.0,"Waalaikumsalam, ba'na, Wi","Waalaikumsalam, kamu, Wi.",7,oreng-oreng palang
104.0,"Enggi, enggi, Pa","Iya, iya, Pak.",7,oreng-oreng palang
105.0,"Ba, ba'na, Nan","Oh, kamu, Nan.",7,oreng-oreng palang
106.0,"Mara maso', mara-mara","Ayo masuk, ayo-ayo.",7,oreng-oreng palang
107.0,Ma' padhana badha se ce'parlona,Kok sepertinya ada yang sangat penting.,7,oreng-oreng palang
108.0,Tamoy se katello pas padha maso' ka amperra Pa'Tenggi,Tamu yang bertiga itu lalu sama-sama masuk ke teras Pak Kepala Desa.,7,oreng-oreng palang
109.0,Adha-kandha kaempa'an sambi rut-sirudan,Berbincang-bincanglah keempatnya sambil saling mengisap rokok.,7,oreng-oreng palang
110.0,nyergu' kalobult bako Parancak arantep ban kobina,menikmati kepulan asap tembakau Pamekasan yang nikmat dengan kopinya.,8,oreng-oreng palang
111.0,Sowara-sowara tamba kalem nyarepsep ka bujella malem,Suara-suara bertambah pelan meresap ke sunyinya malam.,8,oreng-oreng palang
112.0,"Jangkrek, jerring, mano' kowek padha nembang agendhing e lat-koladan se nalpe' e cethak","Jangkrik, belalang, burung hantu sama-sama bernyanyi melantunkan lagu di sela-sela tanah kering yang retak.",8,oreng-oreng palang
113.0,"Bungkana sabu se rampa' e taneyanna Pa' Tenggi molae akebba'esoroy angen, mamare ojang se ngerray","Bunga sawo yang lebat di halaman Pak Kepala Desa mulai berguguran diterpa angin, setelah hujan yang reda.",8,oreng-oreng palang
114.0,"Sabatara e amperra Pa' Tenggi, ramme bak-rembak adha-kandha","Sementara di teras Pak Kepala Desa, ramai berembuk berbincang-bincang.",8,oreng-oreng palang
115.0,"Saellana la cokop abit kakandha'an ban Pa' Tenggi, Sahwi pas mnadhapa' pa-apa se badha e pekkeranna","Setelah sudah cukup lama berbincang dengan Pak Kepala Desa, Sahwi lalu menyampaikan apa-apa yang ada di pikirannya.",8,oreng-oreng palang
116.0,Sahwi ajarba'agi kalaban jarna'na ka Pa' Tenggi dhari asal molana careta sampe' ka aher masala se gi' ta'bisa epotos,Sahwi menjelaskan dengan sejelas-jelasnya kepada Pak Kepala Desa dari asal mula cerita sampai ke akhir masalah yang masih belum bisa diputuskan.,8,oreng-oreng palang
117.0,Brudin dan Satnan coma gu'-onggu'an ngedhingagi apa se ekacaca kancana,Brudin dan Satnan hanya mengangguk-angguk mendengarkan apa yang diceritakan temannya.,8,oreng-oreng palang
118.0,"Neng-enneng sakejja', Sahwi nerrosagi careta panga-terrona Brudin se bakal ngobbar Cong Nangka","Diam sejenak, Sahwi meneruskan cerita tentang keinginan Brudin yang akan membakar Cong Nangka.",8,oreng-oreng palang
119.0,"Mereng oca'se dhi-budhina, Pa' Tenggi pas laju takerjat","Mendengar ucapan yang terakhir itu, Pak Kepala Desa lalu terkejut.",8,oreng-oreng palang
120.0,"ja' kalako pangara jareya, me' teppa' ka na'poto dibi","jangan-jangan perkiraan itu, kok tepat mengenai cucunya sendiri.",8,oreng-oreng palang
121.0,Pacatoran tamoyse akakandha etancek bingong antara terros apa epaambuwa,Percakapan para tamu yang berbincang itu dicegat kebingungan antara diteruskan atau dihentikan.,8,oreng-oreng palang
122.0,"Tape, paggun maksa nerrosagi caretana","Tapi, tetap memaksa meneruskan ceritanya.",8,oreng-oreng palang
123.0,Salaen ajagan dha' magarsare sakampong ja'Cong Nangka dibi' kaodhi'anna agumantong ka oreng e sakobengnga kebbun nangka,"Selain menjaga penduduk sekampung, kehidupan Cong Nangka sendiri juga bergantung pada orang di sekitar kebun nangka.",8,oreng-oreng palang
124.0,"Ropana, Sahwi lakargu-onggu barenteng kaangguy maelang masala se eadhebbi oreng sakampong","Rupanya, Sahwi memang benar-benar bersemangat untuk menghilangkan masalah yang dihadapi orang sekampung.",8,oreng-oreng palang
125.0,Oreng odhi' senneng ban sossa ta' kera ekadibi'i,Orang hidup senang dan susah tidak akan sendirian.,9,oreng-oreng palang
126.0,Oreng odhi' koduna saleng banto ta' le-mele se kemma'a bai,Orang hidup harusnya saling bantu tidak pilih-pilih yang mana saja.,9,oreng-oreng palang
127.0,Kodu abanto ka se ngabutowagi,Harus membantu yang membutuhkan.,9,oreng-oreng palang
128.0,"Apapole mon enga' oca'na reng kona ja' oreng odhi' ja' sampe'amosowan, bila mate ta' kera abendhem dibi","Apalagi kalau ingat kata orang dulu bahwa orang hidup jangan sampai bermusuhan, bila mati tidak akan mengubur diri sendiri.",9,oreng-oreng palang
129.0,"Daddi, sapapole se neserra ka Cong Nangka mon ta' oreng-oreng e seddi'na kebbun nangka","Jadi, siapa lagi yang akan kasihan pada Cong Nangka kalau bukan orang-orang di dekat kebun nangka.",9,oreng-oreng palang
130.0,Tantona se soddi ban parduli,Tentunya yang mau dan peduli.,9,oreng-oreng palang
131.0,"Kakandha'an e palemperra Pa' Tenggi sajan aranca'jau, arama'sokmana malem","Perbincangan di teras Pak Kepala Desa semakin jauh dan seru, meramaikan sukma malam.",9,oreng-oreng palang
132.0,Partembangan terros ajalan samporna,Pertimbangan terus berjalan sempurna.,9,oreng-oreng palang
133.0,Jerring aseyol nangale kalowang ban bubburu nengteng geddhang ban pao dhari pamengkang budhi,Belalang bersiul melihat kalong dan kelelawar memakan pisang dan mangga dari pekarangan belakang.,9,oreng-oreng palang
134.0,Mano' kowek ngortok,Burung hantu berbunyi.,9,oreng-oreng palang
135.0,"Bulan se mesem, mateppa'dhung-kodhungnga sambi akaca ka langnge' serdhang ta'aondhem","Bulan yang tersenyum, menyingkapkan selubungnya sambil bercermin ke langit cerah tak bermendung.",9,oreng-oreng palang
136.0,"Jarumma ejjam alerset, atengka' nojjuwagi pokol sapolo","Jarum jam bergeser, melangkah menunjukkan pukul sepuluh.",9,oreng-oreng palang
137.0,"Aherra, Sahwi, Satnan, Brudin, ban Pa' Tenggi buru ngaolle kapotosan dhari apa se ekarembak","Akhirnya, Sahwi, Satnan, Brudin, dan Pak Kepala Desa baru mendapat keputusan dari apa yang dirembukkan.",9,oreng-oreng palang
138.0,"Kapotosan se ekaolle, iya areya","Keputusan yang didapat, yaitu ini.",9,oreng-oreng palang
139.0,"malem Juma'at se bakal dhateng kabbi magarsare esoro akompol e lon-alon kaangguy ngaji, nyo'on ka Pangeran enghale panyake'na Cong Nangka","malam Jumat yang akan datang semua penduduk disuruh berkumpul di alun-alun untuk mengaji, memohon kepada Tuhan agar mengangkat penyakitnya Cong Nangka.",9,oreng-oreng palang
140.0,"Se kapeng dhuwa', dharina lon-alon, Cong Nangka epaennengnga e dalemma Pa' Tenggi sabatara bakto sampe' etemmo asal usulla","Yang kedua, dari alun-alun, Cong Nangka ditempatkan di rumah Pak Kepala Desa sementara waktu sampai ditemukan asal usulnya.",9,oreng-oreng palang
141.0,"Ban bila etemmo, Cong Nangka esoro mele, apa moleya ka bengkona","Dan bila ditemukan, Cong Nangka disuruh memilih, apa akan pulang ke rumahnya.",9,oreng-oreng palang
142.0,dibi' otaba pagguna neng e dalemma Pa' Tenggi,sendiri atau tetap tinggal di rumah Pak Kepala Desa.,10,oreng-oreng palang
143.0,Malem Juma'at se edhante' la nalpe,Malam Jumat yang dinanti telah tiba.,10,oreng-oreng palang
144.0,"Se lake' nojju ka lon-alon, se bine' nojju ka dhaporra Pa' Tenggi kaangguy abetthek dha'aranna se eatoragiya ka bagiyan lake'an se ngaji elon-alon mongging temorra Pa' Tenggi","Yang laki-laki menuju ke alun-alun, yang perempuan menuju ke dapur Pak Kepala Desa untuk menyiapkan makanan yang akan dihidangkan kepada kaum laki-laki yang mengaji di alun-alun sebelah timur rumah Pak Kepala Desa.",10,oreng-oreng palang
145.0,"Abak semma', ra-kera coma dhuratos meterran dhari dalemma Pa' Tenggi","Agak dekat, kira-kira hanya dua ratus meter dari rumah Pak Kepala Desa.",10,oreng-oreng palang
146.0,Sabatara Cong Nangka la ealle ka tengngana lon-alon,Sementara Cong Nangka sudah dipindahkan ke tengah alun-alun.,10,oreng-oreng palang
147.0,"Sajjegga e lon-alon molae ramme kalaban oreng ngaji, la'-ola' se nyongke' kole'na Cong Nangka molae ngocel ngalotor gan settong, pas elang","Sejak di alun-alun mulai ramai dengan orang mengaji, borok-borok yang menempel di kulit Cong Nangka mulai lepas mengelupas satu per satu, lalu hilang.",10,oreng-oreng palang
148.0,Gaggar copplak padhana badha se nyoro,Rontok terlepas seakan-akan ada yang menyuruh.,10,oreng-oreng palang
149.0,Tengka aneka Cong Nangka abak ngorange,Dengan begitu keadaan Cong Nangka berangsur membaik.,10,oreng-oreng palang
150.0,"Lon-alon malem Juma'at manes bulan pornama biyasana seppe, aoba daddi kompolla oreng sadisa se agaruweng ngaji asambung tahlil ban du'a, nyo'onagi Cong Nangka sopaja baras dhari sake'na","Alun-alun pada malam Jumat manis bulan purnama yang biasanya sepi, berubah menjadi kumpulan orang sedesa yang bergema mengaji disambung tahlil dan doa, mendoakan Cong Nangka supaya sembuh dari sakitnya.",10,oreng-oreng palang
151.0,Cong Nangka paggun Ir'-guli'an e attassa lencak bungkel se badha e tengngana reng-oreng se hoso' dhalem wiridda,Cong Nangka tetap berguling-guling di atas balai-balai bambu yang ada di tengah orang-orang yang khusyuk dalam wiridnya.,10,oreng-oreng palang
