Madura,Indonesia
Jhâjhâl nyarè 2 contona oca’ sè ètandhukkaghi!,Coba cari 2 contoh kata yang diaktifkan verba aktif!
Bârâmma ḍhâbuna Bu Sri ḍâ’ kana’ kellas tello’?,Bagaimana katanya Bu Sri kepada anak kelas tiga?
Sanos abâ’ ècacca ghi’ ta’ cokop tèmbhânganna,Meskipun saya tulis pun tidak cukup baitnya
"Kerrès jiyâ temmo ètajhâ', pas makalowar perro' bi' cemmacem èssèna tabu'.","Keris itu ternyata dicabut, lalu mengeluarkan perut dan bermacam-macam isi perutnya."
"Salaen sowara kata' dhari penggir saba se ce' ranyengnga, ekaedhing keya sowarana mano' se nyenyanyeyan.","Selain suara katak dari pinggir sawah yang sangat nyaring, terdengar juga suaranya burung yang bernyanyi."
Masa'Bi-ibi ngala' na'-kana' bâkto ojbán.,Masa' Bi-ibi mengambil anak-anak waktu hujan.
bhâbâng bombay,bawang bombay
Bâḍâ salameddhân è compo’.,Ada acara selamatan di rumah.
filem malemma è tv ta' lèbur sama sakalè,film di tv tadi malam tidak menarik sama sekali
Kabbhi mangkat ka romana Tama'in.,Semua berangkat ke rumahnya Tama'in.
Apa sè èparènta Kèyaè Slawi ètekkanè.,Apa yang diperintah Kiai Slawi dilaksanakan.
"Akantha pè-sapèyan papa, tamaso’ ḍȃ’ oca’ ","Seperti sapi-sapian lumpur, termasuk ke kata"
"Teks cerita aèssè kadhȃddhiyȃn, pangalamanna orèng, berta bȃn carèta laènna.","Teks cerita berisi  kejadian, pengalaman orang, informasi, dan cerita lainnya."
Apa sè èsa ḍiyȃ’aghi Bu Rini?,Apa yang disediakan oleh Bu Rini?
"Manabi pon oneng, napa ajunan ta' mangmang sa-kale","Kalau sudah tahu, apa Anda tidak ragu sama sekali."
 Salasèttongnga ajjhâ’ salèng abhenḍhu,Salah satunya jangan saling marah
"Nyamana kabutowanna oreng odhi', apapole e jaman sateya, kabbi padhana se kodu melle","Namanya kebutuhan orang hidup, apalagi di zaman sekarang, semua seakan-akan harus beli."
tellor dhâddhâr,telur dadar
sakè' kepaḍângan,sakit diai-e
"Tape, nyatana sello' se ebagi ka dika ganeko melle dhari aotang ka Ji Mas'ot","Tapi, nyatanya cincin yang diberikan kepadamu itu dibeli dari berutang pada Haji Mas'ot."
Ponapa sè èmaksod sareng paparèghân?,Apa yang dimaksud dengan paparèghân?
Masèttong raghâ sareng Panḍhâbâ.,Menyatu raga dengan Pandawa.
"Saripa meddek, nondhu' banne keng polana berra' ka elong","Saripa diam, menunduk bukan karena berat akibat hidung"
"Ano wa,arowa ro dalemma se badha e budhina Marsu'ip","Anu itu, itu loh rumahnya yang ada di belakangnya Marsu'ip."
prappa'na tèḍung,sedang tidur
Apa sè èkamaèn alè’na Hosniyah bân kancana?,Apa yang dimainkan adiknya Hosniyah dan temannya?
èpecca dhâddhi tello',dibagi menjadi tiga bagian
Cita-cita panèka bujut ḍâri pangaterrona sampèyan.,Cita-cita itu wujud dari keinginanmu.
areng kaju,kayu arang
bhâdhân arassa bennyel kabbhi,badan terasa pegal semua
Sajan malem.,Semakin malam.
mèkkèrè dhika,memikirkan dirimu
"Saamponna tobuk sè amaèn, sadhâjâ lajhu amaèn bhâk-tebbhâghân.","Setelah puas yang bermain, semua lalu bermain tebak-tebakan."
labâng soroghân,daun pintu yang menggunakan roda
Mon bȃ’na maca è perpustaka’an sè palèng è kasennengè maca buku apa?,"Jika kamu membaca di perpustakaan, buku apa yang paling kamu suka baca?"
embu'na bâḍâ ḍimma,ibunya ada dimana
"Bellu’ bhâdhânna laès tor lècèn, artèna ghâmpang nyalonot èsemmonnaghi ḍâ’ orèng sè cacana mamanès coma mon bâḍâ parlona, ompama ngènjhâma bhârâng otabâ pèssè.","Belut badannya licin, artinya gampang menyelinap disindirkan kepada orang yang perkataannya manis-manis cuma kalau ada perlunya, umpama meminjam barang atau uang."
"Tape, bato kaletthak se paleng gali, se paleng bagus eobbar kaangguy ngaselagi gampen pote ban nangkar","Tapi, batu gunung yang paling keras, yang paling bagus dibakar untuk menghasilkan gamping putih dan mengembang."
sakè' teng-ketteng,sakit pingsan
Bhettakghânna Romo dhâddhi ngalkalla dârâna rèng sènoro'.,Bentakan Romo membuat orang-orang yang ikut mulai naik darahnya.
Ko' cocco'dhuri matan.,Aku tertusuk duri sepertinya.
Nyare kole'na jagung pole.,Mencari kulit jagung lagi.
Ma' padhana badha se ce' parlona,Kok sepertinya ada yang sangat penting.
Nyabung seddheng abitdhâ.,Menyabung cukup lamanya.
Suroso nyangkana jhâjhân lamaran rèya andi'en aka'en.,Suroso menyangkanya jajanan lamaran ini miliknya kakaknya.
Bungkana sabbrang se sakelan ganeko gunna ecellettagi.,Pangkal rambanan yang sepotong itu hanya diletakkan.
Kajana ta' olle malolo molae gella'g'laggu,Kayaknya tidak dapat melulu dari tadi pagi.
Babine' ganeko gunna aonggu'ban mesem.,Perempuan itu hanya mengangguk sambil tersenyum.
Tape ta' parlo baburugan dhari reng bine,Tapi tidak perlu wejangan dari orang perempuan.
Rèyakodu rassaè ghâllu.,Ini harus dirasakan dulu.
lanḍhiân pottra sadhâ,gagang keris bergambar orang
Mangkat para’ sèyang,Berangkat hampir siang
"Ngoca’a jherruk bhâli, kolè’na ta’ konèng bhiru, ra-kèra ta’ bâriyâ, kemma soko kemma lè’èr, bhângon bungkol memper dâ’ bhângonna cèthak.","Dikatakan jeruk bali, kulitnya tidak kuning biru, kira-kira tidak begitu, mana kaki mana leher, bentuknya bulat mirip dengan bentuknya cetakan."
Sudiya ngonjur e attas lencak se badha e palemper,Sudiya selonjoran di atas balai-balai yang ada di teras.
"Bisa-bisa, mon gi' atanya kobi, bakal esoro melle dibi' mon binena.","Bisa-bisa, kalau masih bertanya kopi, akan disuruh beli sendiri oleh istrinya."
"ka ramana, tandha narema otaba nola","kepada ayahnya, tanda menerima atau menolak."
parao lajârân,perahu yang sering berlayar ke luar daerah
"Maske sakadar ollena eberri'i, tape bila egiba ka bengkona, juko' ganeko ebelli mon tatanggana.","Meskipun sekadar hasil pemberian, tapi kalau dibawa ke rumah, ikan itu dibeli oleh tetangganya."
Bâdâ polè sè lakar nèyat ghu-ongghu marosaghâ bè'-pabrè' otabâ tambhâ' odâng.,Ada lagi yang memang niat sungguh-sungguh merusakkan pabrik-pabrik atau tambak udang.
Seddheng tang alè' arabât Emma' neng roma.,Sedangkan adikku merawat Ibu di rumah.
Mèyȃra kalangghengnganna alam tor sakobhengnga.,Memelihara kelestariannya alam dan sekitarnya.
Kennengnganna èsabâ’ kalabân èghântongngaghi è bâbâna ,tempatnya diletakkan atau digantung di bawahnya
"È ḍâlem tokèlan puisi moḍèrn è attas, ta’ kabilâng sango sè ampon","Dalam kutipan puisi modern di atas, bekal yang sudah diberikan tak terhitung."
Jârâghân bi' pandhighâ sè laèn apèrak kabbhi.,Juragan dan nelayan yang lain senang semua.
ḍâ' kammaa,mau kemana
sampè' kaloppaè jhâ'kancana Suroso rèya amersè'enna jhrâbâ' bâtona.,sampai kelupaan bahwa temannya Suroso ini membersihkan jerawat batunya.
Enco' èyocoi olè mala Ma'bi'oyèng owwa!,Aku dicium malah Bu oleh orang itu!
Karettek se barnana bisa etebbak dhalem pola tengka,intuisi yang warnanya bisa ditebak dalam tingkah laku.
Katon pas tadha' pangalangnga sakale,Terlihat seperti tidak ada penghalangnya sama sekali.
aèng assèn,air asin
Kapala sakola neng èSdè jiyâ angonjhâng Kèyaè sè bâdâ neng dhisana.,Kepala sekolah di SD itu mengundang Kiai yang ada di desanya.
Sakola'enna la tèra' cè' tèra'en.,Sekolahannya sudah terang seterang-terangnya.
Aèng matana Jusop ghâgghâr ta'èghârâssa bâkto Jusop ajhelling matana Embana kèya.,Air matanya Jusop jatuh tidak terasa waktu Jusop melihat matanya Neneknya juga.
palèng nyaman ngakan saté akowa loḍè,paling enak makan sale dengan kuah lodeh
"Aldi atolè, bhunten, Bhu","Aldi menoleh, belum, Bu."
"Sè wajib ajâgâ kabersèyan è sakola’an, kodhuna","Yang wajib menjaga kebersihan di sekolahan, harusnya"
Ḍimma sè tamaso’ bhȃk tebbhȃgghȃn?,Mana yang termasuk tebak-tebakan?
Manabi oca’ camporan pas èparèngè tambâ’ân è aḍâ’ sareng èbingkèng panèka pas èserrat arangkè’ dhâddhi sèttong oca’.,Jika kata majemuk lalu diberi imbuhan di depan dan di belakang maka penulisannya dirangkai menjadi satu kata.
malar moghâ kaulâ sareng panjhennengngan sadhâjâ èsaporaaghi sareng allah swt,semoga kita semua diampuni oleh allah swt
Aèng saghârâ kala bânnya’na,Air laut kalah banyaknya
Jhȃjhȃl jȃwȃb pètanya è bȃbȃ rèya!,coba jawab pertanyaan di bwah ini!
Ka'-bhungka'enna duwâ' la robbhu kabbhi.,Bunga-bunganya dua-duanya sudah roboh semua.
Ojan pon kare tek-rettek.,Hujan sudah tinggal gerimis.
ta' kaḍhik embâl,tidak terceraikan
"Èbuḍina bengkona, Sanima mèyara kèbân","Di belakang rumahnya, Sanima memelihara hewan."
apanḍi sonarra bulân,bermandikan sinar rembulan
èkèkkè' rengngè',digigit nyamuk
napa' ka dissa,tiba di sana
"Enggi, ampon mon panjennengngan meyosa, ga-moga salamet dhalem parjalanan kantos ka tojjuwan tor samoga'a ta' loppa ka badan kaula, Kak","Iya, sudah kalau Anda mau berangkat, semoga selamat dalam perjalanan sampai ke tujuan dan semoga tidak lupa pada diri saya, Kak."
Are pon laggu pole.,Hari pun pagi lagi.
Markoya la ngoca' ka Royan soro jhâ' ma'-semma'ka dhibi'en.,Markoya sudah berkata pada Royan suruh jangan dekat-dekat pada dirinya.
sorat kebâsa,surat kuasa
Èpatè'è bi' èsèramè mènnya' eggas.,Dimatikan dengan disirami minyak gas.
towan ḍokter,tuan dokter
Tanya Radèn Segara.,Tanya Raden Segara.
"È ḍâlem tokèlan puisi moḍèrn è attas, vokal sareng konsonan sè palèng bânnya’ paḍâ èngghi panèka","Dalam kutipan puisi modern di atas, huruf vokal dan konsonan yang paling banyak muncul adalah sebagai berikut."
"Saamponna ḍâri ghâpanèka, bâḍâ kabhâr polè jhâ’ Panḍhâbâ panèka ghi’ bâḍâ tor ghi’ oḍi’.",Aku sekarang pusing makanya aku mendengar kabar bahwa para Pandawa ini masih hidup.
"Bila terro melleya roko' cap balanan, pessena badha.","Jika ingin membeli rokok cap balanan, uangnya ada."
ana'na ta' lem molè polana ta' èmellèaghi èn-maènan,anaknya tidak mau pulang karena tidak dibelikan mainan
Kabbhi akompol neng balay.,Semua berkumpul di balai desa.
Abbo èkèbá da'emma engko'reyal.,Ya ampun dibawa ke mana saya ini.
"Bila daddi juko', julit kalaban buja cabbi, se dha' -seddha' peddhis.","Kalau jadi ikan, bumbui dengan garam cabai, yang terasa pedih."
mowang sarka sakarebbhâ,membuang sampah semaunya
Apa papaḍȃnna oca’ nyepper?,Apa persamaan kalimat singgah?
È lon-alon ampon bânnya’ na’-kana’ sè ngocol lajângan.,Di alun-alun sudah banyak anak-anak yang menerbangkan layangan.
Esaba' e bun bara' epaolo dhaja ngonjur dha' lao,Ditaruh di sebelah barat dihadapkan utara selonjor ke selatan.
"Anapa, panjennengan ma' tega kadi ka'dhinto, Mak","Kenapa, Anda kok tega seperti ini, Mas."
Sabhârâng moḍâ larang patot artèna orèng sogghi tapè ta’ tao ngator râng-bhârângnga.,Segala yang murah mahal pantas artinya orang kaya tapi tidak tahu mengatur barang-barangnya.
Lè'èrra Rasat langsong èkalèng-lèngngè lengngenna Mad Nawi.,Lehernya Rasat langsung dilingkari lengannya Mad Nawi.
"Bila rerengen, gunna kare rerengen, tadha' ollena nape.","Bila merengut, hanya tinggal merengut, tidak dapat apa-apa."
Akaton pon ngarte carana mecekka' roko' e bibirra tor anyaba sanajjan e bibirra badha roko' salencer. ,Terlihat sudah mengerti caranya menempelkan rokok di bibirnya dan menaruh meskipun di bibirnya ada rokok sebatang.
Carètana Ḍhempo Abâng èngghi panèka contona carèta sè aropa,Cerita dhempo abang adalah contoh cerita yang berupa
"Mèlana, ngèrèng maos patètè!","Makanya, mari membaca dengan teliti! "
mellas ongghu,sungguh kasihan
Kalèbunna kacèyerran ngadhebbhi orèng bânnya'.,Kepala Desanya malu menghadapi orang banyak.
Ngoca' Mad Rokab sambi majhâlân mata ka dâdâna Markoya.,Ucap Mad Rokab sambil menjalankan mata ke dadanya Markoya.
Jhȃjhȃl bȃ’na bȃn kancana aghȃbȃy ghȃlompo’ amaèn lar kolarjhȃng sambi laghuwȃghi!,coba kamu dan temanmu membuat kelompok bermain ular-ularan sambil dinyanyikan!
"Jhȃjhȃl ghȃbȃy okara kakanthèn sè aghȃnḍhu’ ghuru lumaksito, bȃnnya’na 5 mègghi’!","Coba membuat kalimat kakanthen yang mengandung guru lumaksito, banyaknya 5 biji!"
bâbi alas,ccleng
Ganeko ta' kera eabi'.,Itu tidak akan dihabisin.
"Okara neng kèjhung kertanoker abherri’ ghȃmbhȃrȃn sè nyata bȃrȃmma na’-kana’ kodhu atèngka, èbȃkto ngaḍhebbhi parkara, sè kodhuna salèng la-ngalaè bȃn dhuli nyapa. ","kalimat dalam kidung kertanoker menggambarkan kenyataan bahwa anak-anak harus beretika, saat menghadapi masalah, yang seharusnya saling mengalah dan langsung menyapa."
orèng sè ajhuwâl rojhâk rowa ngangghuy cek-kocek ḍâri kaju,orang yang berjual rujak itu memakai ulek-ulek yang terbuat dari kayu
korang pertajâ,kurang percaya
Pidato katowa kellas kaangghuy maḍâpa’ pessen.,Pidato ketua kelas untuk menyampaikan pesan.
bula ecepta daddi manossa arantep padhana Adam ban Hawa,aku dicipta menjadi manusia selaras seperti Adam dan Hawa.
Alas ganeko pon mare eobbar.,Hutan itu sudah selesai dibakar.
Rèng-orèng sè dântos neng bâbâna ka'-bhungkaan accem tacengnga' kabbhi.,Orang-orang yang menunggu di bawah bukit semua terkejut.
somor ebboran,sumur hasil dari pengeboran
Ètolès jhȃrna’ bȃn jhȃngkep,Ditulis secara lengkap dan rinci
bungo langngè',biru langit
"Engko'èpadâ'râmmaa bhâi, apa can kakè Ka'.","Aku mau diapakan saja, apa kata kamu Kak."
"Badha se ngaremmes aeng mata, ta' mangga ngabas Cong Nangka, nyosop ekarassa","Ada yang meneteskan air mata, tidak tega melihat Cong Nangka, menyusup terasa"
Mon ghrȃ’ȃn bulȃn otabȃ ghrȃ’ȃn arè ca’na rèng Madhurȃ konana arapa?,Kalau gerhana bulan atau gerhana matahari katanya orang Madura kuno kenapa?
rèng-orèng sè ḍâteng ḍâri manca naghârâ lèbur ongghu nèngghu kerrabhân sapè madhurâ,orang-orang yang datang dari manca negara sangat tertarik menonton kerapan sapi madura
Ada recebannya?,Ada kembaliannya?
"Laèn oca’na tor-catoran, èngghi panèka ","Lain katanya bercakap-cakap, yaitu"
ngaḍhuk jhâmo,mengaduk jamu
"baramma-baramma karembak se kera daddiya nyaman ka oreng kabbi kalaban badhana masala neko,","bagaimana-bagaimana rembuk yang sekiranya membuat nyaman untuk semua orang dengan adanya masalah ini,"
"Mon abherri’ ka orèng sè soghi, parèbhȃsanna","Kalau memberi ke orang yang kaya, peribahasanya"
Kennengngan tambâ’ânna oca’ asal panèka bâḍâ sè èsabâ’ è ,Posisi imbuhan pada kata dasar tersebut ada yang diletakkan di
Pèlè ca’ oca’ sè kasanḍhing akor sareng jâwâbhânna!,Pilih kata-kata yang di samping sesuai dengan jawabannya!
"Mangkat ka tana manca,adina bala ban ca-kanca.","Berangkat ke tanah rantau, meninggalkan keluarga dan teman."
ghenna’ macemma dhusa,lengkap jenisnya dosa
Bâḍâ polè nabbhu ronjhângan sè èsebbhut aghuttha. ,Ada lagi menabuh ronjhângan yang disebut aghuttha.
Dâ-dâ'en ta' tao jhâ' Landâur.,Dadakannya tidak tahu bahwa itu Landâur.
pabi' kakanna,habiskan makanannya
"ta' massa', agir-gigir.","Tidak masak, ribut."
Saellan jhâghâ tèḍung sè èkalako Hotijah iyâ arèya ?,Setelah bangun tidur yang dilakukan Hotijah yaitu?
Bânnya’na aghuta sè amaèn laghu èn maènan Ghâi’ Bintang panèka ,"banyaknya anggota yang memainkan permainan ""Ghâi' Bintang"" adalah"
mèlana pas apangara sèkèra ta’ kala’a ka kancana sè nèngkong.,"Maka dari itu, ia akan berusaha agar tidak kalah dari teman-temannya yang berjongkok."
Romana Buari la para' dhâddhiyâ.,Rumahnya Bu Ari sudah hampir jadi.
mora atè,murah hati
beḍḍhâ' popor,bedak pupur
sèrè konèng,daun sirih yang berwarna kuning
"Mon alako ka tasè’, èsambhȃt apa?","Jika berlayar ke laut, disambut oleh apa?"
Pangangghuy sowara soko panèka èsabâ’ è bâbâna aksara ghâjâng.,pangangghuy suara soko diletakkan pada bagian huruf dasar.
Jhâjhâl nyarè ḍuwâ contona oca’ sè aghânḍhu’ konsonan alos ḍhâmmang!,Coba cari dua contoh kata yang mengandung konsonan halus ringan!
" Aghȃbȃy gher-ogher karangan, sopajȃ maghȃmpang nyoson karangan",Membuat kerangka karangan agar mudah menyusun karangan
Sakabbhinna orèng anyangka.,Semua orang menyangka.
bâto ghiling,batu untuk menggiling
"Lalake' ganeko metong nyeyorra, lebbi saessok.","Laki-laki itu memotong kelapanya, lebih dari satu kantong."
"Mara bârâmma, Brontosèno?","Ayo bagaimana, Brontoseno?"
Terrrossaghi bȃca è aḍȃ’na kellas!,Lanjutkan membaca di depan kelas!
"Barang-barang ganeko epekol dhari romana,dagang ka pasar se jauna ra'-kera'an tello kelo satengnga.","Barang-barang itu dipikul dari rumahnya, berdagang ke pasar yang jauhnya kira-kira tiga kilo setengah."
"Ajhelling binè la abângkang,ojângan, bi'ma'ar kabbhi.","Melihat istri sudah telanjang, acak-acakan, dan memar semua."
Dhâddhi deskripsi panèka bâḍâ ḍuwâ’ macem.,"Jadi, deskripsi itu ada dua macam"
Mangkada nae' tarebung.,Berangkat naik ke pohon siwalan.
kerrabhân sapè è madhurâ,karapan sapi di madura
"Ja'senga tembana okos gallu, pas mangkat.","Awas tunggu tembakaunya dibungkus dulu, baru berangkat."
Manossa ta’ mampo oḍi’ kadhibi’ân amarghâ ,Manusia tidak mampu hidup sendirian karena
bârâmpa opana,berapa upahnya
amènnya' klonyo,berminyak kelonyo
ta' enḍer,tak kunjung
Bisa maèn bi'-dbibi' neng dâlem roma.,Bisa main sendiri-sendiri di dalam rumah.
"Mak iya’ bâḍâ Panda, lèbur, oca’na Aè’ ka Iyan saellana Iyan ḍâpa’ ka sed- dhi’na.","Lho kok ada Panda, bagus, katanya Aè’ ke Iyan setelahnya Iyan sampai ke sampingnya."
Sè èmaksot laghu èn-maènan èngghi panèka nalèka amaèn na’-kana’ alaghuwâghi ,Yang dimaksud lagu permainan adalah ketika anak-anak menyanyikan
Ma' buruwanna ambu sajjegga abine,Kok baru berhenti sejak beristri.
Ma' sampèyan andi'panyaket kencèng manès.,"Bu, Anda punya penyakit kencing manis."
sakè' kapèlengngan,sakit pusing kepala
Badha koceng akael.,Ada kucing sedang makan.
kembhâng mawar ella molaè mekkar,bunga mawar sudah mulai mekar
Mad Ja'i atanya pole.,Mad Ja'i bertanya lagi.
areng bhâtok,arang yang terbuat dari tempurung kelapa
orèng seppona ampon adhingghâl omor,orang tuanya sudah meninggal dunia
Apa mosèm nèmor?,Apa itu musim kemarau?
Bilâ ḍâpa’ ka pongkasanna laghu panèka pas jhung ghâlluwân nèngkong.,"Ketika sampai di akhir lagu, mereka serentak berjongkok"
èman ongghu sè èjhuwâllâ,sangat disayangkan jika sampai terjual
Bâgiyân teks narasi sè abujud kompolan ca’-oca’ sareng okara neng è sèttong ghâris anyar èsebbhut ,Bagian teks narasi yang berwujud kumpulan kata-kata dan kalimat di dalam satu baris baru disebut
Leca' aengnga.,lemes airnya.
mettat moseng,menjebak musang
Napepole cocco'na tadha' dagingnga sakale.,Apalagi jenggernya tidak ada dagingnya sama sekali.
tokang siir,penya1r
atotor palasdhâ,bertutur dengan jelas
arassa toḍus,merasa malu
penca' sèlat,pencak silat
abâma potè tolang,berwarna putih tulang
Kadhi ponapa carana nyarèta’aghi polè teks narasi?,Bagaimana caranya menceritakan lagi teks narasi?
"Eppa’, embu’, èmbhuk, sèngko’ bȃn alè’ ghutong rojhung abhersèyan bengko’.","Ayah, ibu, kakak, saya dan adik gotong royong membersihkan rumah."
ollè bârisân,mendapatkan warisan
Arassa nongko' ta' sepa'kalaban kennengnganna.,Merasa menempel tidak pas dengan tempatnya.
nyarghep kapper,menangkap kupu-kupu
Polana amaen ka lebun asalla.,Karena bermain ke sarang asalnya.
"Lar-kolarjhȃng, kolarjhȃng ngèkkè’a apa?","ular-ularan, ular-ularan ngigit apa?"
rè-saarè lem-samalem,tiap-tiap hari tiap-tiap malam
èberri' dhupa,diberi dupa
"Manabi abujut ghâlimpo’na oca’ asal sadhâjâ, tantona okarana korang saè.","Jika berwujud kumpulan kata dasar semua, tentunya kalimatnya kurang baik."
Ta' kèra epartajâi.,Tidak mungkin dipercaya.
Engko' ngoca' ka tang Eppa' jhâ' engko' terro noro'maghiyâ kèya.,Aku berkata pada Bapakku bahwa aku ingin ikut membagikan juga.
Bula ban dika pon padha tao rassa panas ekello eseram derressa ojan,Aku dan kamu sudah sama-sama tahu rasa panas disengat disiram derasnya hujan.
Se maongga'a na neka.,Yang menaikkan ini.
kapal kerro',kapal keruk
Ѐyatorè serrat okara sè nanḍhâ’âghi jhâ’ Pangèran Lor mèkkèrè ra’yat Songennep katèmbhâng abâ’na dhibi’ è ḍâlem tokèlan carèta è attas!,"Silakan tulis kalimat yang menyebutkan jika pangeran lor memikirkan rakyat sumenep daripada dirinya sendiri, di dalam cuplikan cerita di atas!"
Pandhighâ pagghun apèrak bhunga.,Nelayan tetap senang bahagia.
Tako' èpègha'bi' jiyâ.,Takut dicegat oleh itu.
Tadha' laen coma masala Cong Nangka,Tidak lain hanya masalah Cong Nangka.
Jalanna ato-bato.,Jalannya berbatu-batu.
"Ka dâjâ,ka lao', ka bârâ', ka tèmor, ta' toman neng-neng è romana.","Ke utara, ke selatan, ke barat, ke timur, tidak pernah diam di rumahnya."
Kodhu cengked ghâllu kemmèna mon jhukemmè.,Harus ditahan dulu kencingnya kalau mau kencing.
bisa ka èrèng otabâ toron!,bisa ke samping atau turun!
Kabbhi jiyâ acaca pa'-empa'an.,Keempat orang ini berbicara di dalam.
"Sè aḍâ’na nyaronèn, sè èyèrèng nabbhu ghenḍhâng, sè è buḍi negghu’ peccot.  Artèna","Yang di depannya meniup saron, yang diiringi menabuh gendang, yang di belakang memegang cemeti. Artinya"
sakè' kopèng,sakit telinga
"Maddha duliyan, reng-oreng padha kaburu aengnga.","Ayo cepat, orang-orang sama-sama terburu-buru airnya."
nyolet dhâmar,menyulut lampu
Ka sapa atanya'a masala nyamana keban jareya?,Ke siapa bertanya masalah nama hewan itu?
bâ'na lakar antes mon akalambhiân jas,kamu memang pantas kalau mengenakan jas
Bâ'en mon mogher.,Kamu kalau menebang.
"Saporana, Mak, manabi kaula sala","Maafkan, Mak, kalau saya salah."
"Maske sateya la bannya' bantowan dhari pamarenta kaangguy na'-kana' asakola, paggun bai bannya' bandhana oreng asakola","Meskipun sekarang sudah banyak bantuan dari pemerintah untuk anak-anak bersekolah, tetap saja banyak modalnya orang bersekolah."
"Molae eberri' sanyo mnon ka-cong,bula laju ta' pate enga' ja' baja napeyan salameddanna.","Mulai diberi sanyo dulu, saya lalu tidak terlalu ingat kalau harus apa sesajennya."
Royan anyegghât Markoya sè ajhâlân neng pèngghir èmbong sambi anegghu' tanangnga.,Royan mencegat Markoya yang berjalan di pinggir jalan raya sambil memegang tangannya.
bisa èpartajâ,dapat dipercaya
"Lèngkerrè horop a, b, otabâ c mènangka jâwâbhân sè palèng","Lingkari huruf a, b, atau c sebagai jawaban yang paling"
"E bakto molae toron ka jang baba'an, kakapper molae aromasa kapanasan.","Di waktu mulai turun ke bagian bawah, kupu-kupu mulai merasa kepanasan."
Sabinè'en sakè'panas cèllep bi' sakè' bâto'.,Istrinya sakit panas dingin dan sakit batu.
"è ḍimma, Yan?","di mana, Yan?"
Tape aba'na apangrasa ja' nyaba' kole'na jagung e padduna kobung Semma' ka batton.,Tapi dia merasa kalau kulit jagung itu diletakkan di gubuk Dekat batu.
Tape tadha'.,Tapi tidak ada.
cè' lessona,sangat lelah
ta' èkennèng bitong,tidak terbilang
Ka’angghuy nantowaghi bâktona amaèn panèka llumbrâna èkarembhâk ḍhimèn jhâ’ bilâ sè amaèna.,Untuk menentukan waktu bermain biasanya dibicarakan terlebih dahulu kapan akan bermainnya.
Ta' eparobbuna kobung jareya kaangguy paenga'an ja' manossa asalla dhari barang se tadha' pas badha,Tidak dirubuhkannya surau itu untuk pengingat bahwa manusia asalnya dari sesuatu yang tidak ada lalu ada.
orèng sè nompa' kenḍaraan possa' asek-seksek,orang yang naik mobil penuh bersesak-sesakan
sorat permèsè,surat ijin
soto medhurâ,soto madura
La seddeng ajheng-manjheng dâyya pas Supar dâteng.,Setelah sedang berdiri sebentar Supar datang.
Bâdâ sè bâgiyân mersè'è dârâ.,Ada yang bagian membersihkan darah.
ḍâri lambâ' sèngko' ella ngoca',dari dulu saya sudah mengatakan
aotaan ḍârâ,bermuntahan darah
"Sabendherra banne tamoy raja, gunna ngajaga alako.","Sebenarnya bukan tamu besar, hanya mengajak bekerja."
"Dhinèng bhiḍhâna paparèghân sareng pantun èngghi panèka ta’ èyator ḍâlem sèttong atoran, artèna bibâs.","Sedangkan bedanya paparèghân dan pantun yaitu tidak diatur dalam satu aturan, artinya bebas."
sambi ajalan ka bara' ka temor nyare salenan kalambi lakona,sambil berjalan ke barat ke timur mencari ganti baju kerjanya.
