Madura,Indonesia
kangghuy bhit-nyebbhit kakananna tapè èghuna’aghi kèya kangghuy ghu’-negghu’,untuk sobek-menyobek makanannya tapi digunakan juga untuk memegang
ḍhukon sarat,dukun yang ahlinya meramal
sè mellè,yang membeli
nâbu' rebbhâ,mencabut nunput
bâuna bhâṭangnga tèkos nyerebbhet ka èlong,bau bangkainya tikus menyengat ke hidung
roḍâna sapèḍa,roda sepeda
ta’ sadhâjâna èn-maènanna na’-kana’ bâḍâ ,tidak semua permainan anak-anak memiliki
toju' e semma'na dulla se sepa' toju' e lencak amper,duduk di dekatnya dulla yang nyaman duduk di balai-balai teras
garowa' reng-oreng pon padha dhateng se nyassa'a,tadi orang-orang sudah pada datang yang bertanya
ada recebannya,ada kembaliannya
ja' kose ta'-santa' ma' ta' lekkas sondhul otaba possa' neng e dhalem,jangan terlalu cepat-cepat agar tidak lekas penuh atau banyak di dalam
asababbagi damar calopagan para' mateya ekebbat angen,menyebabkan lampu minyak hampir mau mati dihempas angin
lalake'ganeko abak galiya' kalaban toju'na agalu'ceng agaru obu' ta' nemmo bagiyan dhimma se gatel,laki-laki itu  sedikit geli dengan duduknya bergerak menggaruk rambut tidak menemukan bagian mana yang gatal
obbbâr musolla jiyá,bakar musala itu
ponapa sè èmaksot sareng tokoh,apa yang dimaksud dengan tokoh
 ana'en kakè ta' èlang lè',anaknya kamu tidak hilang dik
bhâsa sè èghuna’aghi èngghi panèka bhâsa èngghi bhunten,bahasa yang digunakan adalah bahasa engghi bhunten
prappa'na ajhâlân,sedang berjalan
orèng buwângan,orang buangan
mara bulân kasèyangan,seperti bulan kesiangan
ngaddu cekkomang daddi maenan se paleng lebur monggu na'-kana' se oreng towana akasap neng e tengnga tase,mengadu umang-umang menjadi mainan yang paling seru bagi anak-anak yang orang tuanya bekerja di tengah laut
ènga'an nèko mèlor harèpan,kenangan itu ikut harapan
robbhu ta' ènga' pa-apa,roboh tidak ingat apa-apa
ponapa sè èmaksod sareng angghidhân deskripsi,apa yang dimaksud dengan kerangka deskripsi
jhȃjhȃl ghȃbȃy èssèna pidato sè tèmana perpisahan kellas 6,coba buat isi pidato yang temanya perpisahan kelas 6
tadâ' rèng sè aka-tarèka,tidak ada orang yang berbuat ulah
terros noro'e karettek dhalem atendak ban tengka,terus mengikuti intuisi dalam bertindak dan bertingkah
sombuna ebalik,sumbunya dibalik
korang samighi,korang sabighi
pasangan tompang tènḍi ètolès apèsa sareng aksara sè bâḍâ è attassa tor ta’ ollè asoson tello’,pasangan tompang tènḍi ditulis terpisah dengan aksara yang ada di atasnya dan tidak boleh bersusun tiga
reng-oreng padha gumbira mon angen ta' abatbat,orang-orang sama-sama gembira kalau angin tidak kencang
mon marè nyaddrika aghuna’aghi listrik bȃrȃmma kodhuna,kalau selesai menyetrika menggunakan alat listrik bagaimana seharusnya
atambâ raddhin bhâ,makin cantik saja
abhersèyan neng tanèyan,membersihkan di halaman
enggi lorga ka pekkeran ban dompet-dompedda lorga keya dika nemmo bai,iya longgar ke pikiran dan dompet-dompetnya longgar juga kamu bisa saja
bânnya'sè ècapo'neng bâkto osom ninja rèya,banyak yang menjadi korban pada waktu musim ninja ini
laèn bi' rasat,lain dengan rasat
abit ḍhimèn,terlalu lama
ngala' nyamanna dibi' pera',mengambil enaknya sendiri saja
korbhina tako’ ka kèlap’ ana’na bȃngal ka kelap,merpatinya takut pada kilat anaknya berani pada kilat
apa tojjhuwȃn pidato rekreatif,apa tujuan pidato rekreatif
manyang otaba manggar se tadha' buwana epatoron keya,mayang atau manggar yang tidak ada buahnya diturunkan juga
sanaos ta’ ngarep bâlessân,walaupun tidak mengharap balasan
kantos sè maos deskripsi panèka dhi-kadhiyâ ngoladhi dhibi’ bhârângnga sareng ponapa sè bâḍâ è sakobhengnga,sehingga yang membaca deskripsi tersebut seolah-olah melihat sendiri bendanya dan apa yang ada di sekelilingnya
brudin pèrak bân berka’ sambi akabhâr ka kancana polana ella ollè ajâm kasennengnganna,brudin senang dan gembira sambil memberitakan ke temannya karena sudah dapat ayam kesenangannya
cè' kellarra,sangat kuat
akaton badha tombuwanna ca'na,kelihatannya ada tumbuhannya katanya
abhȃḍhi cagar alam sareng suaka maragwatsa,membuat cagar alam dan suaka margasatwa
tape tor kadhang ta' apangrasadhari se settong atamba settong atamba settong ta' ekarassa daddi sagunong,tapi terkadang tidak merasa dari yang satu bertambah satu bertambah satu tidak terasa jadi segunung
saarè bhentèng,sehari penuh
mangkat tengnga malem,berangkat tengah malam
ponapa sè kodhu kacarèta ka’aḍâ’ sareng ponapa sè kodhu kacarèta bingkèngan panèka èsambhât ,apa yang harus diceritakan terlebih dahulu dan apa yang diceritakan kemudian itu disebut
badha dhadhar se tacoco ka carang dhari santa' na angen,ada bendera yang menempel ke ranting dari hempasan angin
dhâmar kambâng,pelita yang menyala dengan sumbu mengambang diatas minyak
badha se neggu'i mayyit ma' ta' sajan nyanggerra' le'erra,ada yang memegangi jenazah agar tidak semakin mencekik lehernya
monyèna ngaranang,bunyinya berdentang
pettèssâ cakalan,petis yang terbuat dari ikan tongkol
ajarukkong pon abit keya tape juko'paggun ta' ekenneng,selonjoranpun sudah lama juga tapi ikan tetap tidak kena
plotan pakem,jenis beras ketan kulitnya berwarna merah tua dan tidak berbulu
bulân bân bhumè ḍhep-aḍḍhebbhân,bulan dan bumi berhadap-hadapan
bhâsa malaju,language melayu
langgè' bhersè bintang potè ḍhâp-ngreḍḍhâp cè' pemana,langit cerah bintang putih berkilau-kilauan sangat indahnya
ding-ngèding landâur jiyâ tako' mon bâdâ dhamar,dengar-dengar landâur itu takut kalau ada lampu
dhu tennanga manabi sabban are nompo' ban ngarena otang,bagaimana mau tenang kalau setiap hari numpuk dan menghitung utang
bâkto jiyâbâdâ monyèan pok-kopok neng kopèngnga,waktu itu ada bunyian kura-kura di telinganya
ka bârâ' ka tèmor aton-tonton,pergi kemanapun selalu bergandengan tangan
rantayya sapèḍa,rantai sepeda
pas lagghu'en polè sapa,lalu besoknya lagi siapa
dhika ampon nèko',kamu sudah ambil
sajan malem sajan ceddu,semakin malam semakin dingin
bila juko'na garus dharina ajuwalan juko' atun nyepper ka barung ban kadhang ka pasar kaangguy melle kabutowanna e bengkona,bila ikannya ludes dari berjualan ikan atun mampir ke warung dan kadang ke pasar untuk membeli kebutuhannya di rumahnya
ra-kera ba' endha'a saompamana badha oreng se tega nyangaja dika,kira-kira apakah mau seumpamanya ada orang yang tega menyakiti kamu
kaulâ ampon palèng,saya sudah paling
dâpa' ka tanèyan mat burnè ngodi'è messèn,tiba di halaman mat burne menghidupkan mesin
kobung ganeko saparo epadaddi kamar ka-laban nambai tabing e cangga tengngana,gubuk itu separuh dijadikan kamar dengan menambah dinding di tengahnya
apa sè èmaksod èbhȃrȃt,apa yang dimaksud ibarat
ninja celleng rèya tamaso' ninja sè la-nyala ninja sè andi' nèyat matè'enna kèyaè-kèyaè sè bâdâ neng madhurâ,ninja hitam ini termasuk ninja yang tidak jelas ninja yang punya niat membunuh kiai-kiai yang ada di madura
dhâddhi caca,jadi pembicaraan
listrik panèka kèngèng èpadhâddhi kakowadhân ka’angghuy ngoḍi’i dhâmar sareng laènna,listrik ini bisa digunakan untuk menyalakan lampu dan lainnya
buari langsong entar ka dâpor,bu ari langsung pergi ke dapur
ajâm sorong,ayam yang bulunya melenting keatas
tello sènti,tiga senti
kacong ganeko paggun akepek,anak itu tetap menggeleng
mèlana tema ka’ḍinto sè dhâddhi ḍhâsarra jhâjhârbâ’ân alenia,makanya tema itu yang jadi dasarnya penjabaran alinea
tana jhâbâ,tanah jawa
eppa’ sè bâḍâ è ajunanna ,bapak yang ada di surga
kembhâng bhâbur,daun bunga yang diiris-iris sebagai pelengkap bunga sebungkus
kaulâ ampon malem,saya sudah malam
napana tellotengka,apanya tiga langkah
nyare saessena bengkona,mencari seisi rumahnya
kalamon ngobu embi’ bân salaènna ajjhâ’ kaloppaè kodhu ,kalau memelihara kambing dan lainnya jangan lupa harus
ya badha keya pate'na,ya ada juga anjingnya
markoya langsong amellè beddhâ' sè arghâ atosan èbu,markoya langsung membeli bedak yang harga ratusan ribu
alhamdulillah kita è bâkto samangkèn èparèngè kasempatan aghi pangghi insyaallah kaulâ sareng para kanca sadhâjâ è ḍâlem kabâḍâ’ân saè tor sèhat,alhamdulillah kita di waktu sekarang diberi kesempatan untuk bertemu insyaallah saya dan para kawan semua di dalam keadaan baik dan sehat
tojjhuwân dâ-dâ'en èntar ka sumennep,tujuan dadakannya pergi ke sumenep
orèng kanèl,orang perantara pelacur
kerrongnga dha' ate arassa agibbu dhalem pekkeranna tadha' kennengngan pangowaban kaangguy mowang berra'na caca se ngalotor dhari cethak,rindunya terhadap hati terasa menggumpal dalam pikirannya tidak ada tempat pengubahan untuk membuang beratnya ucapan yang mengalir dari otak
penjhâlin bâto,jenis rotan yang keras seperti batu
neng carètana bilâ bâdâ orèng kembhâr otabâ râng bhârâng sè jomlana kembhâr rowa kodhu patè'è sala sèttongnga,di ceritanya bila ada orang kembar atau barang-barang yang jumlahnya kembar itu harus dibunuh salah satunya
lantaran kalongètanna orèng sè aghâbây akaton èndhâ nyennengngaghi ḍâ’ orèng sè ngoladhi,lantaran kemahiran orang yang membuat kelihatan indah menyenangkan kepada orang yang melihat
manjheng buluna kolè',berdiri bulu roma
pangangghuy papatèn sareng pangangghuy panambâ,sandhangan pemati vokal dan penambah konsonan
ataretan odi’ pèno',persahabatan hidup penuh
toju' asela,duduk bersila
tore me' pola nemmo e dara',mari siapa tahu menemukan di darat
kabater abâ' dhibi',khawatir sendirian
korong sè sèttong cè’ rajâna kantos aettap ḍuwâ’,kurungan yang satu sangat besarnya sampai bertingkat dua
pojhur aèngnga ta' rajâ ta' kènè',untung airnya tidak besar tidak kecil
èyantarana bhumè bȃn langngè’ bȃḍȃ,di antaranya bumi dan langit ada
pogherrân dâpa' saparo,tebangan sampai separuh
keddhung jiyâ koca'en ghâbây kennengngan rèng sè andi' sala,kedondong itu katanya untuk tempat orang yang punya salah
suroso soro ngènep neng romana maya,suroso disuruh menginap di rumahnya maya
neng è jhâlân kèyaè subayri rèya mapak rèng lakè' kadhibi',di jalan kiai subairi ini bertemu seorang laki-laki sendirian
ajhâlân tang-ngelantang,berjalan dengan tegaknya
ghi' bhâri'en salakè'en èmellèyaghi jhâmo kowat,masih kemarinnya suaminya dibelikan jamu kuat
sènga'jba' sampè'gbi-naghi ana'jiya,ingat jangan sampai ditinggal anak itu
tameman sè kerrèng rowa dhuli sèram sopajâ ta' dhâddhi matè,tanaman yang kering itu cepat disiram supaya tidak menjadi mati
oca'na ka suban se gi'buru ka songay mateppa'a sellang se mara bettes,kata ke suban yang masih baru ke sungai memantaskan saluran yang seperti bekas
ma' ellop ropana kerso' alessa,kok layu rupanya kusut alisnya
bâ’dâ ashar artèna,setelah ashar artinya
orèngnga posang nyarèotangan,orangnya bingung mencari utangan
dhukon sampè' ngoca' li-bâli jhâ' paraona rèya èpo'-capo',dukun sampai berkata berulang kali bahwa perahunya ini diguna-guna
èyatorè maos teks deskripsi se abhul-ombhul mèyara ajâm è attas kalabân tanḍhâ bâca sè lerres artikulasi  tor intonasi sè saè,silakan membaca teks deskripsi yang berjudul memelihara ayam di atas dengan tanda baca yang benar artikulasi dan intonasi yang baik
dhuwa' lobang se raja kadibi'-kadibi' ,dua lubang yang besar sendirian
tèra' bulân,terang bulan
ta' osa kasta,tidak usah meny es al
mara mèlè mar,ayo memilih mar
bȃḍȃ orèng lè-mellè,ada orang beli-membeli
dhinèng oca’ idae ḍâri oca’ bhâsa yunani kona sè artèna bhâruwâng kèya bân bhâsa inggrissâ iyâ arèya bear ḍâri bhâsa inggris kona iyâ arèya bera ,sedangkan kata idae dari kata bahasa yunani kuno yang artinya beruang juga dan bahasa inggrisnya yaitu bear dari bahasa inggris kuno yaitu bera
maju ojuk dâri dinna' soro nyarè kennengngan laèn kowa,ayo pindah dari sini suruh mencari tempat lain
sè abhâbhâd alas ngamarta èngghi panèka ,yang membabat alas ngamarta yaitu
pamanna pas atanya babine' se kemma se ekakarebbi,pamannya lalu bertanya perempuan yang mana yang kamu inginkan
bulân ta'katèla dâri bâbâ,bulan tidak terlihat dari bawah
sorat kabhâr,surat kabar
sampèr la marè ngalosotpas royan temmo atowwat dâri dâlem sambi acerrèng kalowar,kain samping sudah selesai melorot lalu royan tiba-tiba terdengar dari dalam sambil menjerit keluar
ya' kalowar kakè patè',ayo keluar kamu orang murtad
biyasana mon la malem rengngè,ngarobung
bi-ibi nyeddot dhâgingnga ana'en,bi-ibi menyedot dagingnya anaknya
ba ba'na nan,oh kamu nan
nyombhâng sakadhârrâ,menyumbang ala kadarnya
ghân jiyâ kèya suroso ollè arabât mowana sè celleng sènga' tèkos sabâ dhâddhi tèkos sènga' neng sirkus-sirkus,hanya itu juga suroso dapat merawat mukanya yang hitam seperti tikus sawah menjadi tikus seperti di sirkus-sirkus
kan molena ta' kera lempo se ngokosa temba,kan pulangnya tidak akan lelah yang membungkus tembakau
ghi'makompola rèngorèng lebbi bânnya' polè,masih mengumpulkan orang-orang lebih banyak lagi
jhȃjhȃl bherri’ tanḍhȃ b mon bhernḍer tanḍhȃ s mon sala,coba beri tanda b kalau benar tanda s kalau salah
matana buari mancella' sènga'rèng mateya mon la ajhelling malaèkat sè nabu' nyabâ,matanya bu ari melotot seperti orang meninggal kalau sudah melihat malaikat yang mencabut nyawa
aneko otangnga bula sabellunna bula odhi' abareng dika,ini utangku sebelum aku hidup bersamamu
iyâ bhenḍer èbhuna bâ’na jârèya,iya benar ibunya kamu itu
apa sè èmaksod sèngko' ta' ngartè,apa yang dimaksud saya tidak mengerti
sanonto koceng ganeko pon endha' agaja' kalaban kacong ganeko,sekarang kucing itu sudah mau bermain-main dengan anak itu
sebbhuttaghi tello’ macem conto oca’ sè aghuna’aghi vokal tajhem bân tello’ macem conto oca’ sè aghuna’aghi konsonan alos,sebutkan tiga macam contoh kata yang menggunakan vokal tajam dan tiga macam contoh kata yang menggunakan konsonan halus
ramana ali asmana pak raji,ayahnya ali namanya pak raji
tambhâi marèna bhâi sè nyaman rèya,tambah nanti saja yang nyaman ini
è ḍâlem tokèlan puisi moḍèrn è attas ta’ kabilâng sango sè ampon,dalam kutipan puisi modern di atas bekal yang sudah diberikan tak terhitung
bilis kampè',sejenis semut hitam
ding-ngèding dâri orèng neng bâgiyân jiyâ,dengar-dengar dari orang di bagian itu
saka'bhinna orèng majângan èpakompol,semua nelayan jaring dikumpulkan
sowarana sokma se ca'na dhalem careta anyama taresna,suara sukma yang katanya dalam cerita bernama cinta
sapa nelpon,siapa yang menelepon
aba'na loppae ja' lamba' kaena pendha abit aerrem aenep ka kamar bessena polisi karana abillai ajam,dia lupa kalau dulu pernah lama menginap di kamar besi polisi karena membela ayam
bhenḍet ongghu,sangat penat
ngoca' rèng tanè bujâ sambhi matao mowa bhungana,ucap petani garam sambil memperlihatkan muka bahagianya
matos lemmes cè'lemmessa,matos lemas selemas-lemasnya
ebanto bine ban ana'na,dibantu istri dan anaknya
sèngko’ ampon lès-kèlès odi',saya sudah selesai hidup
bâu kalèmongnga cè' amengnga,bau ketiaknya sangat apek
kaènga’è oca’ rèya ,diingat-ingat kata ini
ḍi-buḍina mowang kas-rakassa,diakhiri dengan membuang sampah
iya ya' gante gallu,iya ini ganti dulu
satèya bânnya' alas sè èpogherri ka'-bhungkaanna dhâghâ ta' akarè,sekarang banyak hutan ditebangi pepohonannya sampai tidak bersisa
engko'pas carèta'a ka sapa polè mon bânnè ka kakè,aku lalu bercerita pada siapa lagi kalau bukan padamu
reng-oreng laju ngaremmot jang rebbu'an saleng sellek terro nangaleya cong nangka se sabban ekabaji'i polana bauna abatthowangan ta' karabat,orang-orang lalu berkerumun lalu berebutan saling menyelip ingin melihat cong nangka yang dulu dibenci karena baunya busuk tak terawat
èparèksa ka dokter sè mapan,diperiksa ke dokter yang mapan
messin ghiling,mesin giling
sè èrassa’aghi para maos è ḍâlem teks deskripsi èngghi panèka ,yang dirasakan para pembaca di dalam teks deskripsi yaitu
jhâman orèng seppo,zaman orang tua
na'a bâ'na,milik kamu
nangka saoler,satu biji atau satu buah nangka yang diambil dengan mengulir
sakè' panas cellep,sakit panas dingin
bâdâ alla kabbhi sè nantoaghi bhender salana,ada allah semua yang menentukan benar salahnya
oca’ è attas salèn ḍâ’ tolèsân tegak bersambung ,kata di atas salin ke tulisan tegak bersambung
mèlor rèng lakè' dhuli,ikut laki-laki segera
malem sènèn,malam senin
engko' karo ngosar dâdâ,aku nanti mengusap dada
mon namen paḍi ḍimma,kalau menanam padi di mana
semar simar mèlè odi,semar simar memilih hidup
bâ’na kodhu pasabbhâr ḍâ’remma mon bâ’na bân sèngko’ nemmowè arè ca’na bulân ngajhâk bhumè,kamu harus sabar bagaimana kalau kamu dan aku menemui matahari kata bulan mengajak bumi
kembhângnga ghi' ngèncop ghi' ta' mekkar,bunganya masih menguncup belum mekar
paogèran sè maa aghung,tuhan yang maha agung
ajhelling colo'en nya dumma apor-calapor bi' un-dâunan,melihat mulutnya nya dumma berlepotan dengan dedaunan
ḍântè' aghi bulâ,nantikan saya
buluna bhȃruwȃng bȃḍȃ sè abȃrna ,bulunya beruang ada yang berwarna
sè tamaso’ contona parèbhȃsan sè nodhuwȃghi ḍȃ’ sèpat kabȃngalan …,yang termasuk contohnya peribahasa yang menunjukkan kepada sifat keberanian …
tembhâng sè biyâsana èyangghuy neng bhâk-tebbhâghân èngghi panèka ,tembang yang biasanya dipakai di dalam tebak-tebakan yaitu
na’-kana’ sè segghut amaèn,anak-anak yang sering bermain
bâdâ sè ta'molèyan dâri masjid tèdung pol-kompol bhâreng santrè ngajhi laènna sampè' adân sobbhu,ada yang tidak pulang dari masjid tidur kumpul-kumpul bersama santri mengaji lainnya sampai azan subuh
tekka sajjhâna,tercapai keinginannya
è ḍimma yan,di mana yan
oca’camporan oca’ sèkadhâddhiyân ḍâri ḍuwâ’ oca’ sè bhidhâ anangèng aghân dhu’ sèttong artè,kata majemuk yaitu kata yang terbentuk dari dua kata yang berbeda tetapi mengandung satu arti
mènnyan arab,kemenyan arab
dhinèng tè’ pètè’na èpakanè konsentrat sè ècampor sareng jhâghung sellèbhân,sedangkan anak ayamnya diberi makan konsentrat yang dicampur dengan jagung gilingan
kè zubèr,kiayi zubair
e bakto mano' ganeko pan-barampan bulan ekaelang,di waktu burung itu beberapa bulan hilang
kaodhi'an se ta' bisa epesa ban aba'na,kehidupan yang tidak bisa dipisah dengan dirinya
ghâltè' tèma,burung gelatik berbulu seperti warna timah
ènga' anḍi'na bâ'na,seperti kepunyaanmu
amarghâ asmaèpon dhâlângnga ghâpanèka kertè mèlana kasennèyan topèng dhâlâng ghâpanèka pas aobâ nyama dhâddhi topèng kertè,karena namanya dalangnya itu kertè makanya kesenian topeng dalang itu lalu berubah nama jadi topeng kertè
nyakè'è atè,menyakitkan hati
mowana asonar,wajahnya bersinar
ḍimma sè tamaso’ rora bhȃsa,mana yang termasuk rora bhâsa
buto kasabbaran nyombat naltal marot ban merres,butuh kesabaran mengupas mencungkil memarut dan memeras
satè ajâm cè' nyamanna lappana kècap ècampor kacang,sate ayam sangat cnak
manabi pangangghuy cekcek  panèka ghunana ka’angghuy nombuwâghi monyè sengseng akadhiyâ monyè sè bâḍâ è èlong,jika yang dimaksud cekcek itu gunanya untuk memberi bunyi sengau seperti huruf yang ada di hidung
molae gella' kongnengkong,mulai dari tadi berjongkok 
cè' oso'na sè abhâjâng,sangat khusuk yang bersembahyang
ramana sulimangobu embi’,ayahnya sulima memelihara kambing
rasat ghun èajhâk anomma,rasat hanya diajak pamannya
roma sè kobong rowa apoyya alatlat ka roma sè bâḍâ è kangan kacèrra,rumah yang terbakar itu apinya semakin meluas ke rumah yang ada di kanan kirinya
polana cè' pegghellâ ta' sengaja ngantem kancana,karena sangat marah tidak sengaja menghantam temannya
èghrâssa cèlo',terasa kecut
parappa'na tèḍung,sedang tidur
teks deskripsi bâḍâ saponapa macem manabi maghut ḍâ’ èssèna ,teks deskripsi ada berapa macam apabila terkait pada isinya
nangès sambi nyokem,menangis sambil menutup wajah
manabi sampèyan nyerrat ngangghuy carakan madhurâ sampèyan kèngèng aghuna’aghi pangangghuy,jika anda menulis menggunakan carakan madura anda bisa menggunakan pangangghuy sandhangan
palèng enjâ' la amèt mènta kemmi,paling nanti ya pamit minta kencing
lapangan kerrabhân,lapangan untuk arena kerapan
rè-cèrè è antarana èngghi ka’ḍinto,ciri-ciri di antaranya yaitu
jè' lès-kèlès dhuli,jangan malas-malasan segera
ta’ mètong rajâ kènè’ pandheng apa sè èbâghi bhâ’ paḍâ’â moso sè ella ètarèma,tak peduli besar kecil tampak yang diberi apakah sama dengan yang diterima
na’-kana’ sd ta’ wajib mèyara bhuḍhȃjȃ madhurȃ,anak sd tidak wajib memelihara budaya madura
cè' sakejjhi'na,sangat sebentar
kèn kala' ghâmpangnga bi' orèng,tapi diambil gampangnya oleh orang
sudahnan la ngerrok maske ga'-pegga,sudahnun sudah mendengkur meskipun putus-putus
sa­ellana paḍâ saroju’ korbhina mano’ ngabbher nyarè kakan ratona ka­lèng bân panjuridḍhâ ajâgâ buḍu’na mano’,setelahnya sama-sama setuju burung merpati terbang mencari makan rajanya semut dan prajuritnya menjaga telurnya burung
menorot panotoranna hikam bakal mangkat ka tana manca kalaban alajar anglebadi palabbuwan kaliyanget nojju dha' palabbuwan moncar,menurut penuturannya hikam akan berangkat ke tanah seberang dengan berlayar melewati pelabuhan kalianget menuju ke pelabuhan moncar
tembhȃng kasmaran bȃḍȃ bȃrȃmpa,tembang kasmaran ada berapa
baramma e dhapor nape pon,bagaimana di dapur apa sudah
amaèn sot-kalosodhân,bermain gelincir-gelinciran
korbhina mano’ pèrak sambi aghâlebbher pas ngoca’ jâgâ’âghi tang buḍu’ tako’ bâ­ḍâ manossa sè ngala’ sèngko’ nyarèya pakan sakejjhâ’,burung merpati girang sambil mengepakkan sayap lalu berkata jagakan telorku takut ada manusia yang mengambil aku akan mencari pakan sekejap
ta' bânnya' kacègghâ,tidak banyak selisihnya
tanḍhâ tanya èangghuy kalamon,tanda tanya dipakai kalau
èssè’è ti’ titi’ rèya kalabân oca’ sè sorop,isilah titik-titik ini dengan kata yang cocok
bâgiyân sèkatèngal panèka sè abujud kompolan ca’-oca’ sareng okara neng èsèttong ghâris anyar,bagian yang kelihatan itu yang berwujud kumpulan kata-kata dan kalimat di satu baris baru
osom lap-alap,wabah
ka bâb congoco kabbhi,tentang bercanda semua
lo' katon,tidak terlihat
bâdâ oca' dâri rèng ngatowa,ada ucapan dari orang tua
soro ngoca'laa ilaa ha illallaab,disuruh mengucap laa ilaaha illallaah
pidato persuasif iyâ arèya pidato sè ngajhâk orèng kangghuy alalakon,pidato persuasif yaitu pidato yang mengajak orang untuk berbuat
iya engko' terro taoa,iya aku ingin tahu
tang soko bârâ amarghâ bâri' tabhâlâccar è jhâlânan lècèn,kakiku bengkak karena kemarin terpeleset di jalanan yang licin
ka’ḍimma jhejjherrâ ḍâri okara majjhâ darso ngèngkol sapèḍa panèka ,yang mana subjeknya dari kalimat majemuk darso mengayuh sepeda itu
jhâjhâl nyarè 2 contona oca’ sarojâ,coba cari 2 contoh kata sarojâ
maske gun coma sakaleyan sutomo ta' tao nyongop ka bengkona dibi,meski hanya sekali sutomo tidak pernah menengok ke rumahnya sendiri
kacong ganeko pajat lebur dha' kakapper,anak itu memang suka pada kupu-kupu
mad jalinge nolong ajamma pas buru keya,mad jalinge menolong ayamnya lalu lari juga
ta' gujur ta' burdhu' ka dhalem,tidak roboh tidak longsor ke dalam
bit-abit sarini molae taleyer keya maske sabellunna pekkeran peggel ka lakena ta' elang sakabbiyanna ban rassa kabater kalaban badhana monyena mano' tharas,lama-lama sarini mulai terlelap juga meski sebelumnya pikiran jengkel pada suaminya tidak hilang sepenuhnya dan rasa khawatir dengan adanya bunyi burung celepuk
ongghâ kellas,naik kelas
apolas konèng,berpulas kuning
bhunten nom ca’ èpon èbhu malemma nalèka kaulâ amèt kebun binatang sorbhâjâ neng wonokromo ngèḍing oca’na aè’ mara jârèya anomma aghellâ’ iyan noro’ ngalèkkèk sakalè,bukan paman katanya ibu tadi malam ketika saya pamit kebun binatang surabaya di wonokromo mendengar katanya aè’ seperti itu pamannya tertawa iyan ikut terkekeh sekali
senga' pon nemmo se laen e polo gi,awas sudah menemukan yang lain di pulau ya
bâtek dusa,watak dosa
rèng soghi la kabânnya'an ta' mèkkèrè ka sè laèn sèpentèng abâ' sogi bunga ana' ta' nèspa yâ wès,orang kaya sudah kebanyakan tidak memikirkan yang lain yang penting badan kaya bahagia anak tidak sengsara ya sudah
suroso molè ka romana,suroso pulang ke rumahnya
rombongan dâpa' ghân tengnga sabâ dâyyâ pas bi-ibi rèya temmo akalowar,rombongan tiba di tengah sawah itu lalu bi-ibi ini tiba-tiba keluar
salaènna ajhȃlȃns oko mon kowat èterrosaghi berka’,selain jalan kaki jika kuat bisa terus berlari
