Madura,Indonesia
sambi ngakak,sambil tertawa
engko' bâliyá polè ngèbá robálaèn sè bisa ma ancor kake,aku akan kembali lagi membawa rupa lain yang bisa menghancurkanmu
kabbi oreng padha emo' agutong rojung abanto,semua orang sama-sama sibuk bergotong royong membantu
lo' èkala',tidak diambil
bhâdhân sè arassa bâdâ dragula dâteng neng budina,badan yang merasa ada dragula datang di belakangnya
apanḍi sonarra bulân,bermandikan sinar rembulan
jhemmorana ella ghessap dhuli pas tolong tako' ojhân,jemurannya sudah kering
marèètâmbhâi ka dokter pagghun,setelah diobati ke dokter tetap saja
ngèmamè neng mosolla sakola’an ènyamaè apa,mengimami di musala sekolahan dinamai apa
talè sè pegghâ' rowa marè èsambhung,tali yang putus itu selesai disambung
aneka berras bagus,ini beras bagus
teghibâ ḍâlem mèmpè,terbawa dalam mimpi
apa tojjhuwȃn pidato persuasif,apa tujuan pidato persuasif
mènta kabru,minta maaf
ta' osa atampa cangkèm,jangan bersedih hati
alassanna polana pangèran ta' perna aghâbây nabi bi' malaèkat kembhâr neng dhunnya,alasannya karena tuhan tidak pernah membuat nabi dan malaikat kembar di dunia
sèngko' sakanca'an akalènjâr ḍâ' dhisa è ṭong-ceṭṭongnga,saya bersama teman-teman berjalan-jalan ke pelosok desa yang sangat terpencil
pangèran lor panèka asmana rato sè ngobâsanè songennep,pangeran lor adalah nama raja yang menguasai sumenep
è bâbâ panèka sè bânnè macemma puisi akadhi ,di bawah ini yang bukan macamnya puisi seperti
tape pendha cerre' keya,tapi lumayan pelit juga
è tengnga jhâlân,ditengah jalan
matana buari mancella' sènga'rèng mateya mon la ajhelling malaèkat sè nabu' nyabâ,matanya bu ari melotot seperti orang meninggal kalau sudah melihat malaikat yang mencabut nyawa
katerrangan bâkto ḍâri okara majjhâ embèng namen bighina sarkajâ è buḍiyânna bengko ghellâ’ ghu-lagghu èngghi panèka ,keterangan waktu dari kalimat majemuk embeng menanam bijinya srikaya di belakangnya rumah tadi pagi-pagi yaitu
beccè' atè,baik hati
natana bato e dhalem pangobbaran bariya keya,menata batu di dalam pembakaran begitu juga
bâdâ sè korang,ada yang kurang
bhiru laot,biru laut
ca'na oreng mano' ganeko alengleng e seddi'na romana lalake' ganeko tape lalake' ganeko ta' nengngale,kata orang burung itu memutar di dekat rumah laki-laki itu tapi laki-laki itu tidak melihat
jusop apèrak cè' pèrakghâ,jusop senang sesenangnya
ma'lè langsong èkennèng bi' dhukon jarot dâyyâ,agar langsung ditangani oleh dukun jarot itu
èlmo hakèkat,ilmu hakikat
sèyang malem,siang malam
penompaan ḍârâ,penumpahan darah
suroso soro ngènep neng romana maya,suroso disuruh menginap di rumahnya maya
kaju ghâbhus,kayu gabus
bârâmma ḍhâbuna bu sri ḍâ’ kana’ kellas tello’,bagaimana katanya bu sri kepada anak kelas tiga
marè bâ'-nyabâ' ka tana,selesai menaruh-naruh ke tanah
sabagiyan badha maca qulhu patteha dan badha se maca yasin,sebagian ada membaca qulhu fatihah dan ada yang baca yasin
lalake' ganeko mole kalaban nyambi berras dhucorongkobi satengnga kelo ban gula sakelo,laki-laki itu pulang dengan membawa beras dua corong kopi setengah kilo dan gula satu kilo
abareng bi' toronna na'-kana' se ngaji e langgar satnan brudin ban sahwi ajalan areng-bareng arampak nojju ka dalemma pa' tenggi,bersamaan dengan pulangnya anak-anak yang mengaji di surau satnan brudin dan sahwi berjalan bersama-sama serempak menuju ke rumah pak kepala desa
pate' ekakan landha,anjing dimakan landak
bhâk-tebbhâghân èlakowaghi orèng dhibâsa otaba na’-kana’ nalèka apa,tebak-tebakan dilakukan orang dewasa atau anak-anak ketika apa
lolongnga roko',abu rokok
apa sè èkamaèn alè’na hosniyah bân kancana,apa yang dimainkan adiknya hosniyah dan temannya
pasamporna okara è bȃbȃ rèya kalabȃn ca’ oca’ sè èsaḍiyȃ’ȃghi neng è rèngnga,lengkapilah kalimat di bawah ini dengan kata yang disediakan di sebelahnya
pojhur bânnya' orèng sè nyongngo' pas èlang-lang,untung banyak orang yang menunggu lalu dilerai
kebhupatèn songennep,kabupaten sumenep
dhinèng ghâlimpo’na bhiri otabâ bhâris panèka èsambhât paddhâ anḍhegghân,dari kumpulan baris atau baris ini disebut bait
ngoca' rèng tanè,ucap petani
mon jat la mondhuga onggu senga' pataronggu,kalau memang sudah mondok beneran awas amanah
kapan èkala' pas bâghi polè,apabila diambil lalu berikan lagi
settong caceng se ta' ajalanan keng gunna ata' letta' bunto'na,satu cacing yang tidak berjalan melainkan hanya berkgoyanh ekornya
talèbât sakonè',sangat sedikit
sanga bellâs,sembilan belas
sarongnya ḍhâ-perḍhâ,sarungnya banyak yang koyak
polana orèng ghellâ'èberri' solar bhânarèna,karena orang itu diberi solar beneran
sè masang talè kemanghâbhân,yang memasang tali terlalu rendah
bila compet arepadha abali ka ko-bengkona kabbi,bila gelap sama-sama kembali ke rumahnya semua
sèyang dhâllu,terlalu siang
ta' kowat,tidak kuat
dika se badha e kennengngan ce' jauna terros katapser dha-kandha asal bakto bula ban dika atemmo tao abareng lan-jalanan neng alam sokma,kamu yang ada di tempat sangat jauh terus tertafsir berbincang asal waktu aku dan kamu bertemu tahu bersama jalan-jalan di alam sukma
è ḍimma yan,di mana yan
carèta ghâpanèka èkanḍhâ’aghi sareng dhâlâng tor èlampa’aghi sareng panjhâk bânnè bâjâng kolè’ sè ngangghuy topong,cerita itu diceritakan oleh dalang dan diperankan oleh penari bukan wayang kulit yang memakai topeng
kèyaè subayri sèdhâ ta' ètemmo orèng,kiai subairi meninggal tidak ditemukan orang
sapa ta' terrowa ngobuwa lebbi dhari biyasana,siapa yang tidak ingin memelihara lebih dari biasanya
pangangghuy panèka bânnè namong sèttong,pangangghuy itu bukan hanya satu
èpa ka attas bi' kan jhâtè,dibawa ke atas oleh pohon jati
jhȃjhȃl ghȃbȃy okara panotop pidato,coba buat kalimat penutup pidato
paleng polana raja lembu' kene' ban sakone' tolangnga,paling karena besar kenyal sedikit dan sedikit tulangnya
nangèng samangkèn ampon bânnya’ ka’-bhungka’an sè èpogher kaangghuy pambangonan,tetapi sekarang sudah banyak pepohonan yang ditebang untuk pembangunan
bâllung polo bâllu',delapan puluh delapan
anḍi' perotangan,mempunyai perhutangan
ajam abariyagan ka taneyan,ayam berhamburan ke halaman
ngacerning dhari sonar matana se sarassa',bersinar dari sinar matanya yang terbelalak
bȃḍȃ saponapa bhȃris tembhȃng kasmaran,ada berapa baris tembang kasmaran
ta' ètemmo maèlang dâmma,tidak ditemukan menghilang ke mana
badha se aberri' pesse sanajjan sakone',ada yang memberi uang meskipun sedikit
hasel usahana tadâ',hasil usahanya tidak ada
rè-cèrè è antarana èngghi ka’ḍinto,ciri-ciri di antaranya yaitu
lèma èbu,lima ribu
sajjegga e lon-alon molae ramme kalaban oreng ngaji la'-ola' se nyongke' kole'na cong nangka molae ngocel ngalotor gan settong pas elang,sejak di alun-alun mulai ramai dengan orang mengaji ulat-ulat yang menempel kulitnya cong nangka mulai lepas mengelupas satu per satu lalu hilang
roma èpèngghir jhâlân rowa kosong,rumah dipinggir jalan itu tidak berpenghuni
sabâb pèlorra bâlândhâ èstona tètèyan,karena peluru belanda sebenarnya adalah titipan
nyo'on pamèdhàn,mohon pamit
bâdâ mon ghun duw polowan per orèng,ada kalau hanya dua puluhan orang
engko' karo ngosar dâdâ,aku nanti mengusap dada
tobuk la ya,bosan sudah ya
reng kembhâr rèya molè ghellâ' cètakghâ ta' onga' sakalè,orang kembar ini tadi kepalanya tidak terangkat sekali pun
brudin pèrak bân berka’ sambi akabhâr ka kancana polana ella ollè ajâm kasennengnganna,brudin senang dan gembira sambil memberitakan ke temannya karena sudah dapat ayam kesenangannya
ana'na pa' markowi rowa cè' bhâlengngerra,anak pak markowi itu sangat nakal sekali
rèng wâl-jhuwâl bânnya' sè ta' paju,orang jual-jualan banyak yang tidak laku
mon sèttongnga sossa mon bâdâ rèng ècapo' mosèbâ,kalau satunya susah kalau ada orang dihinggapi musibah
engko' nom mari bi' ca-kanca sè laèn amangkat naè'ettrek,aku nom mari dan teman-teman yang lain berangkat naik truk
labâng soroghân biḍhik,pintu dorong ke samping yang terbuat dari gedek
tang bapa' ngennèng polè,bapakku menang lagi
struktur pidato arèya parlo èkataowè bân èpahamè nyopprè pidato sè èpidatowaghiyâ’ jhârna’ tor na’na’ ḍâ’ sakabbhinna orèng neng papangghiyȃn bhuru,struktur pidato itu perlu diketahui dan dipahami supaya pidato yang dipidatokan jelas dan bermakna kepada semua orang di pertemuan baru
opama topik bhâb paratoran sakola’an,umpama topik tentang peraturan sekolahan
tape badha se nangale ja' gella' gi' laggu' matrawi ajalan abareng ji mas'ot dhari romana,tapi ada yang melihat bahwa tadi pagi paman satrawi berjalan bersama haji mas'ot dari rumahnya
roma attassa buari ta'paddhâng,rumah atasnya bu ari tidak terang
olle pon pak,dapat pak
sabab kaju areya ta' duli eabi' apoy,sebab kayu ini tidak cepat habis oleh api
cè' agghâ bhutak nglènyè,kepalanya botak mengkilat dan licin
kakè tadá' bánnya'en rèng binè' neng dhisa dinna'yá,kamu habisi banyaknya perempuan di desa sini ya
ma'lè ramo' ta' ajhâlân ka romana,agar akar tidak berjalan ke rumahnya
tuni ngabâs kan perrèng neng adâ'en matana,tuni melihat pohon bambu di depan matanya
na'-kana' se buru kala mare amaen dhako ganeko akaton gumigila ngedhing gigirra oreng lake' se songodda tombu lebba' e adha'na elong-nga ,anak-anak yang baru kalah setelah bermain congklak itu terlihat menggigil mendengar marahnya orang laki-laki yang kumisnya tumbuh tebal di depan hidungnya
ca'na e dhinto semma' ka kantorra tipi napeyan ca'na bula ngartena gun-na tvri,katanya di sana dekat ke kantor tv atau katanya yang saya mengerti hanya tvri
manossa sareng kèbȃn bhuto ka butombuwȃn,manusia dan hewan butuh ke tumbuh-tumbuhan
sangang atos,sembilan ratus
pas ekekke' caceng ganeko ontang pon taselep lalake' ganeko kaso naja' perreng solorra sennar,lalu menggigit cacing itu pelampung pun tenggelam laki-laki itu capek untuk menarik bambu senar
kalowar rèng akalambiyân ejjas celleng dâri dâlem kapal santos,keluar orang berbaju jas hitam dari dalam kapal santos
bula aroko' cap tampar laju tabalindhet malolo,saya merokok cap 'tampar' selalu terjerat melulu
ngèrèng bhu ponapa sè èlakonana kaulâ,mari ke ibu apa yang harus dilakukan oleh saya
sudiya ngonjur e attas lencak se badha e palemper,sudiya selonjoran di atas balai-balai yang ada di teras
korang samighi,korang sabighi
sèbbhuttaghi macemma kèjhung èn maènan sè èkatawoè bȃ’na,sebutkan macamnya kidung permainan yang diketahui kamu
adur-gluḍur y,berbunyi gegap gempita
romana abangonan anyarpas bâdâ kabhâr kettokan roma,rumahnya dibangun baru lalu ada kabar penggusuran rumah
bâḍâ tamennan kembhâng mawar bân salaènna,ada tanaman bunga mawar dan lainnya
sanapa'na ka dhapor salma ngala' ladding,setibanya di dapur salma mengambil pisau
paggun ajuwal pokangnga se pajat eacet oreng bannya'bila eabas pon seddha',tetap menjual pahanya yang memang dicari banyak orang kalau dilihat sudah terasa
malem ngalosot,malam jatuh
sarini kare kadibi'an se gi' mella,sarini tinggal sendirian yang masih terjaga
sabab cethagga gun bisa marongo' agir-gigir ban bisa maksa sopaja akongko'saranyeng-ranyengnga malle bannya' ban-keban se dhatengmalle sajan garus ajamma,sebab otaknya hanya bisa mengeluh berteriak-teriak dan bisa memaksa supaya berkokok sekeras-kerasnya agar banyak hewan-hewan yang datang agar semakin banyak ayamnya
polana sakè' sara pas èterter hi' obhât,dikarenakan sakit parah
me' tabalaccar,kenapa bisa tergelincir
suroso ngèrrem dâlem bâbâna lencakghâ maya,suroso mengurung diri di bawah balai-balainya maya
èkasanḍȃng ghȃbȃy ambhu,dipikul untuk berhenti
aèng sè ghi' bhuru èkala' ḍâri somor èsabâ' èpennay,air yang baru saja diambil dari sumur ditaruh di tempayan
ta’ mètong rajâ kènè’ pandheng apa sè èbâghi bhâ’ paḍâ’â moso sè ella ètarèma,tak peduli besar kecil tampak yang diberi apakah sama dengan yang diterima
oca’ èpamasaghilèma’aghi asalla ḍâri oca’ ,kata èpamasaghilèma’aghi asalnya dari kata
ghârâssa tadâ' orèng royan pas langsong najhâ' tanangnga markoya ka dâlem romana,dirasa tidak ada orang royan lalu langsung menarik tangan markoya ke dalam rumahnya
jhung jhâuân,yang paling terjauh
dhinèng sè mèrengngaghi senneng,sedangkan yang mendengarkan senang
kampong lebbhâk ècapo' bâ'â,kampung lebak terkena banjir
bila pon dhapa' ka parlona gi kodu abala ka ga-tatangga se arassae aengnga,kalau sudah sampai pada perlunya tetap harus bilang ke tetangga yang merasakan airnya
mon barang aneko akalathagan bannya' kare mele tape rassana ta' kera nemmo se padha,kalau barang itu berceceran banyak tinggal memilih tapi rasanya tidak akan menemukan yang sama
ka’ḍimma jhejjherrâ ḍâri okara majjhâ darso ngèngkol sapèḍa panèka ,yang mana subjeknya dari kalimat majemuk darso mengayuh sepeda itu
bâḍâ bhârâng asèssè’ tapè bânnè jhuko’,ada barang bersisik tapi bukan ikan
ta' esellemmagi,tidak ditenggelamkan
jârèya apa,apa itu
ebbu' aca'-lonca' dhari settong janor ka janor laenna,ibu berlompat-lompat dari satu pohon kelapa ke pohon kelapa yang lain
mâta' nasè',mengangkat nasi dari perapian
orèng tanè,petani
juju' binè',buyut perempuan
ba'na kowat ngobu dhuwa'an,kamu kuat memelihara dua
kata' ganeko pajat apal ka patedhungnga keban ganeko,kodok itu memang hafal pada tempat tidurnya hewan itu
guste mandar gi' badha'a li'-bali'na dhadhar,tuhan semoga masih ada baliknya telur dadar
kabbruwâghi pas pataḍâ’,keburukan kemudian dihilangkan
molae dhari berras,mulai dari beras
atarat ragara salana dhibi' angerra'tanangnga embana,tersisa gara-gara salahnya sendiri mengiris tangan neneknya
tada' rèng majângan bi' rèng mancèngn,tidak ada nelayan jaring maupun pemancing yang melaut
bȃjȃ apa bȃnjirrȃ molaè ongrot,kapan banjir mulai surut
ajȃmma èlombhȃr,ayamnya dilepas
bhâlâ binè,kerabat dari istri
bȃktona cokop satengnga ejjhȃm,waktunya cukup setengah jam
biyasana malem napa'anman,biasanya malam apa mas
saripa laju nyongkem ka ramana,saripa lalu salim kepada ayahnya
angèn topan,angin topan
bâdâ sè ta'molèyan dâri masjid tèdung pol-kompol bhâreng santrè ngajhi laènna sampè' adân sobbhu,ada yang tidak pulang dari masjid tidur kumpul-kumpul bersama santri mengaji lainnya sampai azan subuh
anapa'a ma' peggella ka panjennengngan,kenapa kok jengkel pada anda
abrâghât ongghu,menelan biaya yang sangat besar
estona pon abit ta' nyare mano' otaba ta' gar-tenggaran,sebenarnya sudah lama tidak mencari burung atau tidak ber-tenggaran
kocèng gârâmbis rowa èkabhiri,kucing berewok itu sudah dikebiri
dhari bannya'na kaju se epangobbara sudahnan ta' kellar mon elakone kadibi'an,dari banyaknya kayu yang akan dibakar sudahnun tidak kuat kalau dikerjakan sendirian
malle babine'ganeko masemma',supaya perempuan itu mendekat
ongghâr gherring,segar bugar kembali baru sembuh dari sakit
ghi' ta' percajâ,masih belum percaya
laènna rèya,yang lain ini
ta' apasa,tidak berpuasa
pokol bȃrȃmpa sè mangkat ka sorbhȃjȃ,pukul berapa yang berangkat ke surabaya
sè soghi tambâ soghisèmèskèn sajân mèskèn,yang kaya tambah kaya yang miskin semakin miskin
aghuna’aghi oca’ obâ’ân,menggunakan kata turunan
ja' rengan gunna kandhang ,katanya cuma kandang
kembhâng antes,bunga yang mekar sempurna
ekarebbhu'i kalèng ta' ègârâssa,dikerubungi tawon tidak dirasa
aji saka rèya rato koniskha i karajhȃ’ȃn hindu neng india ḍȃja,aji saka adalah raja koniskha i kerajaan hindu di india utara
atako'an bila se torona ta' nemmo panongko'an,takut bila saat turunnya tidak menemukan pijakan
dina bula moleya gallu,sudah saya pulang dulu
mètorot kadhâddhyiânna oca’ panèka bâḍâ 3 macem èngghi panèka ,menurut pembentukannya kata itu ada 3 macam yaitu
kadhang nanges kadibi'an bila dhapa' ka malem kemmis e sabban mingguna,terkadang menangis sendirian bila tiba ke malam kamis di setiap minggunya
terros noro'e karettek dhalem atendak ban tengka,terus mengikuti intuisi dalam bertindak dan bertingkah
okara èḍâlem teks narasi ka’ḍinto èngghi panèka kompolanna ca’-oca’ sè aghânḍhu’ maksod sè tanto,kalimat di dalam teks narasi itu yaitu kumpulan kata-kata yang mengandung maksud yang tentu
pa’ kosim ghuru olah raga  bu rini ghuru kellas 3,pak kosim guru olahraga bu rini guru kelas 3
cengngar tor asrè,segar dan asri
ojan pon kare tek-rettek,hujan sudah tinggal gerimis
kerrong ka bau-bauna berrem,rindu ke bau-baunya pepaya
tolangnga lebbi raja tantona parsekona lebbi raja mon gigina ta' kowat bisa dangnga',tulangnya lebih besar tentu percekcokan lebih besar kalau giginya tidak kuat bisa menganga
se andhi' pon nolong ban ngemban ajamma,yang punya sudah menolong dan menggendong ayamnya
tarètan lakè’ ḍâri eppa’ èsambhât èolok ,saudara laki-laki dari bapak dipanggil
garus ban ebajari kabbi' tadha' se eotange,laris dan dibayar semua tidak ada yang diutang
karèpè' gheḍḍhâng,kripik pisang
ta' ètemmo jhâ' jhuko' apa,tidak tahu ikan apa
engko' ta'ngangghep jiyâ masala,aku tidak menganggap itu masalah
kadhang adulluwan,kadang duluan
manabi talèng panèka bâḍâ sè nyambhât lèngè,jika talèng atau ada yang menyebut lèngè
ta' kalowar,tidak keluar
ghi' manḍiâ,masih mau mandi
tape rassa neka paggun ta' nogga ka,tapi rasa ini tetap tidak sampai kak
ghârâssana landâur la sènga' rèng èkadâtengngè malaèkat sè nabu' nyabâ,dirasanya landâur sudah seperti orang didatangi malaikat pencabut nyawa
la dbina bágbi ka amal masjid bbai,sudah biarkan bagi ke amal masjid saja
bhȃng-kembhȃngan sè ètamen è eppot ènyamaè,bunga - bunga yang ditanam di pot disebut
ra'-ora' tengngrenteng kabbhi,urat-urat menjadi tegang semuanya
pojhur rato bhâli sareng bhâlâna èpatellok tor èsèdhânè sareng pangèran wètan ,raja bali dan pasukannya akhirnya dikalahkan dan gugur oleh pangeran wetan
ka’angghuy nantowaghi bâktona amaèn panèka llumbrâna èkarembhâk ḍhimèn jhâ’ bilâ sè amaèna,untuk menentukan waktu bermain biasanya dibicarakan terlebih dahulu kapan akan bermainnya
ca’-oca’ ḍâlem panèka bâḍâ sè èsambhât oca’ asal sareng bâḍâ jhughân sè èsambhât oca’ ,kata-kata di dalam ini ada yang disebut kata dasar dan ada juga yang disebut kata
jâwâb pètanya è bâbâ rèya ,jawab pertanyaan di bawah ini 
la tao arapa radèn segara tèga ka taretan kembbar sè sabellunna eojuk dari kampongnga polana pada ta' enda'apèsa dâri kampong pas abèrra èbbásto dbaddhi karang,sudah tahu kenapa raden segara tega pada saudara kembar yang sebelumnya diusir dari kampungnya karena sama-sama tidak ingin berpisah dari kampung lalu dengan berat hati dihancurkan menjadi karang
engko'neng so rèng towaterros satèya,aku tinggal dengan orang tua terus sekarang
"èngghi panèka tèks pidato sè èyangghuy ḍâlem papangghiyân kaangghuy mertè 
orèng laèn",yaitu teks pidato yang dipakai dalam pertemuan untuk mengarahkan orang lain
ètappor kèlap,disambar petir
suroso èjhelling maya arassa ta' nyaman,suroso dilihat maya merasa tidak nyaman
nganjhi' ongghu mon akalambhi bârna ennyat,sungguh genit jika berpakaian warna merah muda
patang soṭok,saling dorong
sakeng dhari peragga,saking senangnya
sabidhâk mennèt,enam puluh menit
polana paraona santos rèya èkalèng-lèngè,karena perahu santos ini dikelilingi
masaroju’ rembhȃk sè teppa’,berkumpul berunding yang benar
so' alako bhâ,asal bekerja saja
kose abit,sangat lama
palèng nyaman ngakan pètèng sè èdheddhel ka cokka campor cabbhi,paling enak makan kepiting yang dicocol ke cuka bercampur lombok
èyatorè rembhâk sakanca’an ponapa artèna oca’ èbhârât è bâbâ panèka,silakan diskusikan bersama teman apa artinya kata ibarat di bawah ini
sapa sè ngater,siapa yang mengantar
bâringèn korong,dua pohon beringin yang ada ditengah-tengah alun-alun atau halaman keraton
mon ma'na sugina sem-mesem laju mon badha lanceng nenggara,lalu paman sugi tersenyum bila ada laki-laki menembak
abdhina èḍhâbui sareng èbhu,saya diberi perintah oleh ibu
ata' belli',atap yang terbuat dari daun pohon nipah
patèna kabânnya'an èbuwâng neng tasè' bâdâ polè sè lakar èsengaja èghi-naghi neng adâ'en roma kalowargana,mayatnya kebanyakan dibuang di laut ada lagi yang memang disengaja dibiarkan di depan rumah keluarganya
napeyan se eangko'a,apa yang mau diangkut
lalakon sè èlakonè,perbuatan yang dilakukan
sapa sè nyèram kembhȃng è eppot,siapa yang menyiram bunga di pot
jarna'na sahwi ka se kadhuwa,kata sahwi kepada yang berdua
polisi stanya,polisi bertanya
labu toju',jatuh dengan bokong terlebih dulu menyentuh tanah
kadhâddhiyân panèka èkabidhi sajhegghâ panḍhâbâ ajhumenneng rato neng karaton ngastinapura,sedangkan ketika waktu sudah dekat akan diwisuda ada kabar tidak baik
akaton oreng gi' buto ka aeng sela gampang juko' tase' gampang,kelihatannya orang masih butuh air dan ikan di laut gampang didapat
bâta mermer,batu marmer
ca'na sudahnan bannya' ana' bannya' rajekke,katanya sudahnun banyak anak banyak rezeki
sirudda gi' ngancae oca'na,sedotannya masih menemani ucapannya
èssè’è ti’ titi’ rèya kalabân oca’ sè sorop,isilah titik-titik ini dengan kata yang cocok
marèkalowar dâri pangètekghâ,selesai keluar dari kejaran
samangken aeng kare melle nye,sekarang air tinggal beli nyi
aèng songhâng,air mengalir balik
sela bariya gunna cokop ekabelli ber-ras jagungnga,udah gitu hanya cukup untuk membeli beras jagungnya
marèna tobuk dâyyâ sè nyongngo',selesai bosan itu menunggu
ta' perjhughâ,tidak pantas
macemma parèbhȃsan èyantarana,macamnya peribahasa diantaranya
sapo' sarong ta' cokop,selimut sarung tidak cukup
badha keya pon agangse pangerradda,ada juga yang sudah mengasah kapaknya
melana eparappa'na mano' ganeko dhateng pas maso' dha' korongnga dibi' edhimma geddhangnga pon elop lalake' ganeko ta' notoplabang korong ganeko,makanya ketika burung itu datang lalu masuk ke dalam sangkarnya sendiri di mana pisangnya sudah layu laki-laki itu tidak menutup pintu sangkar itu
kemma neko aengnga ban,mana itu airnya ban
