Madura,Indonesia
po-sapo lanjhâng,alat sapu yang panjang
angghuy bhâi saparlona,gunakan seperlunya saja
emmas empa' lèkor karat,emas 24 karat
tokang jai',tukang jahit 
aba'na maske alako mekol pendha ta' pate aserro polana sakone' ollena alako,dia meskipun bekerja memikul terasa tidak terlalu berat karena sedikit hasil dari bekerja
tape bali' bang-tembang dhaggi' bannya' kapang paorop kakabbisagantang,tapi balik menimbangkan nanti kalau banyak yang ingin tukar semua satu gantang
jhemmor ghâllu pakerrèng,jemur dulu sampai kering
maya alako apa kèya ka dhibi'en suroso ta' tao,maya melakukan apa juga pada dirinya suroso tidak tahu
sè maa kobâsa,yang maha kuasa
edhi'-seddhi'na tombuna jagung ganeko bannya'rebba se nyenna rebba pakanna sape,di dekatnya tumbuhnya jagung itu banyak rumput yang berbunga rumput pakannya sapi
ngeccèt paghâr,mengecat pagar
pas mator ḍâ’ eppa’ bân èbhuna sopajâ èmellèyaghi ajâm sè atelloran,lalu bilang kepada bapak dan ibunya supaya dibelikan ayam yang bertelur
nyèbâ' buwâna nangka,membelah buah nangka
èsarè ka dâlem pasar pagghun ta' ètemmo,dicari ke dalam pasar tetap tidak ditemukan
engko' mèlè la-ngala katèmbhâng abâ' noro' matèkèya,aku memilih mengalah ketimbang badan ikut mati juga
samangkèn kèngèng ḍâlem bitongan ejjhâm pon tandhuk ka tojjhuwânna kalabân nompa’ kapal ngabâng,sekarang boleh dalam hitungan jam sudah sampai ke tujuannya dengan menaiki kapal terbang
tapangghi polè,kebetulan bertemu lagi
mela dhari jareya pa' tenggi nandugagi ngen-angenna tadha' laen kaangguy macampo cong nangka ban pottre bine'na se anyama saripa,oleh karena itu pak kepala desa menyampaikan keinginannya tidak lain untuk menjodohkan cong nangka dengan putri perempuannya yang bernama saripa
malang mèghung,duduk atau terlentang dalam berbagai arah
nase' tim,nasi lunak hampir spt bubur
aèngnga pèr-kèpèran,airnya meluap-luap
sabbhân arè bengko bân sakolèlèngnga kodhuna è,setiap hari rumah dan sekelilingnya harusnya di
saronènan kana',serunai anak-anak
kopèngnga bhȃruwȃng abhȃngon,telinganya beruang berbentuk
aotaan ḍârâ,bermuntahan darah
bâuna èkèḍing ḍâ' kanna',baunya tercium sampai sini
dika pon tanto tao is ana'na kariya se akabin omor sabellas taon,kamu kan tentu tahu is anaknya kariya yang menikah umur sebelas tahun
teks sè èssèna alasan tor pamangghi kowat èsambhât,teks yang isinya alasan dan pendapat kuat disebut
rèng towa sè neng kampong posang rèya la bânnya' tadâ',orang tua yang di kampung posang ini sudah banyak tidak ada
toju’na neng ebbis sarombȃnan ollè mèlè dhibi’,tempat duduk di bus acak boleh pilih sendiri
ghighi bâddhung,gigi berukuran besar
ollè sèttong-sèttong,dapat satu-satu
ji mas'ot daddi oreng paleng sogi se sateya bannya' sampanna,haji mas'ot menjadi orang paling kaya yang sekarang banyak sampannya
sè ḍimma sè tamaso’ èbhȃrȃt è bȃbȃ rèya,yang mana yang termasuk ibarat di bawah ini
perrengnga etolong,bambunya disimpan
e langnge' settong bintang karteka bádha e attasanna bulan,di langit satu bintang kelihatan ada di atas bulan
engko' karo bisa aonggu',aku nanti bisa mengangguk
dhingla dâpa' ka rèng amaèsak keddhung,ternyata kalau tiba di dekat pohon kedondong
berta kodhu aropa’aghi kadhâddhiyân sè saongghuna,berita harus merupakan kejadian yang sesungguhnya
sè bhȃghus apidato kodhu bȃremma,yang bagus berpidato harus bagaimana
mon tang kanca ta' ḍâdheng,abâ'na kodhu bisa ngântèè
labây bennang,laway atau bahan tenunan yang dijadikan gelang sebagai jimat penolak penyakit
apa sè èkamaèn subaidah è bâkto jârèya,apa yang dimainkan subaidah di waktu itu
ghi' ta' marè èlakonè,sabâk orèngnga ghi' bânnya' lakona
èlmo birasat,ilmu firasat
paḍḍhâng molè,polana èghighiri
ongghâ ḍhârât,mendarat ke tanah
bujâ arassa assèn,garam berasa asin
motel ranca',mematahkan ranting
jhubâ' robâna,jelek mukanya
ghi' petteng,masih gelap
nga'-anga' dhari dhuwa' barang ganeko ta' nambai banga'tape gunna adaddiyagi ngalengsang nyare ken-nengngan laen se cellep akadiya bato otaba dhaun,bau dari dua barang itu tidak menambah kenyamanan tapi hanya membuat gelisah mencari tempat lain yang dingin seperti batu atau daun
oca’ molodhân manabi èbirjhi’ mètorot keccapbbhâ iyâ arèya,kata molodhân bila dipenggal menurut suku katanya yaitu
bhâuna abâk tèmbing,bahunya agak miring
è son-soson,disusun-susun berulang
ca-kanca kabânnya'an dâri dâjâ kabbhi,teman-teman kebanyakan dari utara semua
bulân ta'katèla dâri bâbâ,bulan tidak terlihat dari bawah
bhângonna ghântongan nya èngghi panèka,bentuknya ghântongan nya yaitu
pas agupa'e sambi ca'-lonca'an kadibi'an,lalu dikejar sambil melompat-lompat sendirian
olle barampa bulan dhari matena man sudahnan bi' matna ekabin ji mas'ot,dapat berapa bulan dari matinya paman sudahnan mbok matna dikawin haji mas'ot
enggi epangadhebba ka temor,iya dihadapkan ke timur
keddu' takeddu',terkilir dan salah urat
ango'an ngala' sè rajâ ètèmbbâng sè kènè',lebih baik mengambil yang besar dari pada yang kecil
tantona padha bunga,tentunya sama-sama bahagia
nyenḍu' nasè',menyendok nasi
lo' akaṭo',tidak mengenakan celana pendek
salakè'en akalowar kada' dâri kennengngan bhâjânganna,suaminya keluar dulu dari tempat salatnya
bâkto pokol 1600 ali amaèn sakanca’an,waktu pukul 1600 ali bermain bersama teman
plotan bilâ mambhâng,jenis beras ketan yang kulitnya berbulu berwarna cerah
abâli ka kennenganna,kembali ke tempatnya
pon sajan lebur eyabas berse,sudah makin indah dipandang bersih
ngèntèp orèng manḍi,mengintip orang mandi
mangkana oreng se nyallon lolo pas bannya' se ngangguy sapatu bidhung,makanya orang yang mengaduk adonan semen lalu banyak yang memakai sepatu boot
ta' bisa onggbá kabbhi mon ètalarè,tidak bisa naik semua kalau diteriaki
buta aksara,buta aksara
salang pokol,saling pukul
abali dhukale,kembali dua kali
kalabân amojjhi sokkor ka ajunan allah,dengan memuj i rasa syukur ke hadirat allah
somor ebboran,sumur hasil dari pengeboran
dhateng kotorra,datang bulan 
lakar bhender rèng towa neng kampong posang rèya bânarè bâdâ sè matè,memang benar orang tua di kampung posang ini tiap hari ada yang mati
mantan anyar,pengantin baru
saellana mosem nembara' ngalosot nyemma'e pa-nemor angen baradda berra' berreng nyengkap ju-kajuwan ban ka'-bungka'an se aronce' ta' adhaun#,setelah musim kemarau surut mendekati musim penghujan angin barat yang kencang menerpa pepohonan dan bunga-bunga yang rontok tak berdaun
tape maske loka ganeko ce' lebarra ban ce' dhalemma tadha' ra-mera gilina,tapi meskipun luka itu sangat lebar dan sangat dalam tidak ada darah mengalir
anapè dhika pas ta' ḍhik ngartè,mengapa anda tidak mengerti-ngerti juga
bâkto jiyâ mata arè bâdâ neng attas cètakghâ,waktu itu matahari ada di atas kepalanya
sabellunna amaèn na’-kana’ panèka ajhânjhiyân ghâllu sareng ca-kancana,sebelum bermain anak-anak itu membuat janji terlebih dahulu dengan teman-temannya
tojjhuwânna ma’ ollè na’-kana’ sè nangès panèka pas ḍiem sareng loppa ka sè èkatangès,tujuannya adalah untuk membuat anak kecil yang menangis diam dan lupa dengan yang ditangisi
muna lakar la sengaja ta' ngamalâ ka rèng towana jhâ' suroso ta' cndâ'amantan,muna memang sudah sengaja tidak berpesan pada orang tuanya bahwa suroso tidak ingin menikah
sènga' rèng kaèlangan ajâm,seperti orang kehilangan ayam
nyèram men tamennan bȃn bhȃng-kembhȃngan anḍi’ artè aberri’ pakan,menyiram tanaman dan bunga-bungaan memiliki arti memberi makan
sorbhâjâ tamaso’ ḍȃ’ kottha ḍimma,surabaya termasuk ke kota mana
dhadhana taker tabalarsat,dadanya terasa sakit
saleng salep arebbu'an,saling menyalip berebut
ngolè'è buku,memberi sampul buku
kalaban kajembaran aba' tor ajar maloppa pokpara batharakala se pon talebat kona ji monentar narema mad ja' daddi mantona,dengan kelegaan hati dan belajar melupakan masalah perkelahian yang sudah terlewat ji monentar menerima mad ja'i menjadi menantunya
buh ma' ta' nyambi essok onggu janowa kan menta bu'-arbu' malle bisa ekagabay ngo'-tongngo',duh kenapa tidak membawa sebagian saja nanti kan minta buah biar bisa dijadikan pakaian
gerrangnga elong,kotoran di hidung
dhinèng bȃtegghȃ rèng madhurȃ bȃḍȃ tello’ iyȃ arèya anḍi’rasa malo anḍi’ buḍhȃjȃ bȃn ta’at atoran,sedangkan wataknya orang madura ada tiga yaitu punya rasa malu punya budaya dan taat aturan
mon patèna rèng-orèngnga èsabâ' neng bâbâna kan nanggher,kalau makam orang-orangnya ditaruh di bawahnya pohon nanggher
noro' oca',patuh pada aturan
mon nyabbhrâng jhâlân kodhu lè-tolèan dhâllu ma' lè ta' ètabra' mobil,jika menyeberang jalan harus menoleh terlebih dahulu agar tidak ditabrak mobil
parlambhȃng aghȃnḍhu’ ponapa,perlambang mengandung apa
sa manabi èparèngè cekcek amonyè sang la manabi èparèngè cekcek amonyè,sa jika diberi cekcek  bunyinya sang la jika diberi cekcek bunyinya
emma' jâwâb dâteng dâri lèstoran èntar ngakan,ibu menjawab datang dari restoran pergi makan
ta' padha kas-rakas se sakalengadha' laju ngobal ban eabi,tidak sama dengan sampah-sampah yang segerobaknya langsung menyala dan habis
oca’ sarojâ lalabânan iyâ arèya oca’ sè kadhâddhiyân ḍâri ḍuwâ’ oca’ sè tong-sèttongnga paḍâ aghânḍhu’ artè bi’-dhibi’ conto emma’-embu’ mèra-bhiru towa-ngoḍâ bân salaènna,kata seroja berlawanan yaitu kata yang terjadi dari dua kata yang satu-satunya sama-sama mengandung arti sendiri-sendiri contoh ibu-bapak merah-biru tua-muda dan selainnya
dhingla dâpa' ghân masjid,ternyata kalau tiba di masjid
mon lecek ba'na eketthoga mano'na,kalau bohong kamu akan dipotong burungnya
ta' ollè,tidak boleh
ta' enga',pingsan  tidak ingat
dha'emma esareya reya,di mana dicarinya ini
ngalèbâdhi jhâlân rajâ,melewati jalan besar
sakalèan agghi',sekali lagi
ta' andhân polè,tidak lama lagi
polana neng adâ'an bânnya'rèng kon-lakon,karena di depan banyak orang bekerja
toju' asèla,duduk bersila
isa babine' se nyarkaton e matana hikam sabban bakto,isa perempuan yang terlukis di mata hikam setiap waktu
rèya sèngko’ nyambi perrèng bân dhâlubângnga,ini aku membawa bambu dan kertasnya
tape ta' sampe'loppa ka tojjuwan,tapi tidak sampai lupa pada tujuan
sambi jaga dhari toju'na sarini terro nyengla'a,sambil bangun dari duduknya sarini ingin menyingkir
èlmo bhumè,ilmu bumi
ma’ ta’ bânnya’ majâr ka pln,biar tidak banyak bayar ke pln
pramèla ḍâri ka’ḍinto samangkèn sampèyan sadhâjâ ta’ parlo posang jhâ’ bhutowa paponapa,oleh karena itu sekarang anda semua tidak perlu pusing akan butuh apa-apa
katès rambây,pepaya gantung
nyoba' pos ngapose,mencoba membohongi
ḍi-buḍina mowang kas-rakassa,diakhiri dengan membuang sampah
paggun ajuwal pokangnga se pajat eacet oreng bannya'bila eabas pon seddha',tetap menjual pahanya yang memang dicari banyak orang kalau dilihat sudah terasa
bisa ka èrèng otabâ toron,bisa ke samping atau turun
lumbrâna na’-kana’ senneng manabi èyajhâk amaèn,anak-anak biasanya senang jika diajak bermain
angen ta' lebat,angin tidak lewat
tape dha' emma,tapi ke mana
monggu kadhuwana odhi' e bengkona dibi' ban ta' ngampong ka oreng towa lebbi mardika etembang odhi' sogi tape ollena ngampong,meskipun keduanya hidup di rumahnya sendiri dan tidak menumpang pada orang tua lebih merdeka dibanding hidup kaya tapi hasilnya menumpang
è bâbâ panèka sè bânnè macemma puisi akadhi,di bawah ini yang bukan macamnya puisi seperti
palèmbâyyâ aghipat mara panjhâlin,ayunan tangannya melenting seperti rotan
matana cebbi la mandhellik,matanya cebbi sudah mendelik
manabi lastarè èsèksèk pas èpakadhiponapa’a bhu,kalau selesai dipotong lalu bagaimanabu
kalaban asajja mabarasa saenggana koceng ganeko etolong,dengan sengaja membuat penasaran sehingga kucing itu ditolong
la mangkana,sèngko' la' enḍâ'
berta interpretasi èngghi panèka berta sè tombu ḍâri berta sè larès jhujhuk,berita interpretasi yaitu berita yang tumbuh dari berita yang larislangsung
neng omor sapolo taon engko' ghi' ènga',di umur sepuluh tahun aku masih ingat
bi acora' pon cè' abiddhâ bhâdhânna gulâ èdhina cèllep sareng sampèyan,bi sepertinya sudah sangat lamanya badan saya dibiarkan dingin oleh anda
tamennan sè matè dhuli oddhut,tanaman yang mati cepat dicabut
sa’amponna mèreng jhâ’ naghârâna èlorok naghârâ laèn pangèran lor kasokan makompol bhâllâ songennep pas makon papatèna sè asmana èngghi panèka,setelah mendengar bahwa negerinya diserang oleh negeri lain pangeran lor kemudian memerintahkan patihnya yang bernama
engko' ding-ngèding orèng sè andi' èlmo bellu' lècèn rèya bisa odi' neng duwå' kennengngan,aku dengar-dengar orang yang punya ilmu belut licin ini bisa hidup di dua tempat
ghi' korang nem taon,masih kurang enam tahun
makè dáyyá pangèran ta'buta ka mablok odi',meskipun begitu tuhan tidak buta pada makhluk hidup
mon bâ'na lakar ngartè jhâ' la'jânè ma'lè ta' dhâddhi tokar,kalau kamu memang mengerti
tao pe-maleppe sakaleyan tape ta' dhapa' ka tase' pon etemmo e jalan kalaban lalake' towa ganeko se buru dhateng ngare',pernah mencoba sekali tapi tidak sampai ke laut dia malah ditemui di jalan oleh laki-laki tua itu yang baru datang dari memanen
orèng bâbinè' bhâli biyasa akembennan,gadis bali biasa mengenakan kemban
èkallè dhâghâ ḍâlem bhuru metto aèng,digali sampai dalam baru keluar air
lalake' ganeko paggun ajaga toko,laki-laki itu tetap menjaga toko
abassagi ondhem se ngalarkar pote aba'-omba' jagana bila egiret angen ondhem rowa ngababa e poncana babana langnge' se atabung kalaban tase' pas maso' nyosop ka tase'se tennang saenggana tase' aesse omba',melihat awan yang membentang putih berombak-ombak sepertinya kalau ditarik angin awan itu terbang di puncak bawah langit yang terhubung dengan laut lalu masuk menyusup ke laut yang tenang sehingga laut berisi ombak
abâu bâseng,berbau tidak sedap
marèngès sè ajhellingaghi,mengerikan yang melihatnya
ta' tao sama sakalè,tidak tahu sama sekali
bhân-sabbhân kabhupatèn makèrèm enem pasang sapè,setiap kabupaten mengirim enam pasang sapi
saporana to,maaf to
lamba' se la sarata' asengsalan,dulu yang sudah susah tidak ada pertengkaran
è ḍâlem tokèlan puisi moḍèrn è attas bânnya’ orèng lèbât è,dalam kutipan puisi modern di atas banyak orang lewat di
marèna abhâjâng tahajjud pas adikkèran sampè' adân sobbhu,setelah sholat tahajjud lalu berzikir sampai adzan subuh
pèrak sè ta' abit,senang yang tidak lama
akaḍi' rèya,seperti ini
neng jhâlân rèng kembhâr rèya tapapak bi' radèn segara,di jalan orang kembar ini bertemu dengan raden segara
kajuna nancel dârâ bâkto èpogher,kayunya meneteskan darah waktu ditebang
eppa’ alèngghi è lèncak sambi sopajâ ta’ maso’ angèn,bapak duduk di bangku bambu sambil supaya tidak masuk angin
neng tang pèkkéran,dalam pikiran saya
maha moljâ,maha mulia
pon tennang odhi'na,sudah tenang hidupnya
suroso bâkto jiyâkostalokos sè nyarè pèssè,suroso waktu itu pontang-panting mencari uang
nyarè pangorèbhân ngèngonè abâ' dhibi',mencari penghasilan untuk menghidupi diri sendiri
suroso awèng-ngowèngan sambi jâwâb suroso,suroso geleng-geleng kepala sambil menjawab suroso
are ganeko lalake' gancko pon dhapa' ka romana,hari itu laki-laki itu sudah sampai di rumahnya
apa sè èmaksod sareng sangona paghi’,apa yang dimaksud dengan bekalnya besok
ajamma epangger kalaban tampar se badha e gadhiya,ayamnya diikat dengan tali yang ada di sana
abrâghât ongghu,menelan biaya yang sangat besar
tapè omor ta’ masthè,tapi umur tak pasti
kambang ngambang,membersihkan mata dng memasukkan muka ke dlm air
obu’na eppa’ ella potè,rambutnya bapak sudah putih
pèssè èbuân rèya ta' paju polè ghâbây lè-mellè,uang ribuan ini tidak berlaku lagi untuk membeli sesuatu
lalake' ganeko paggun mandeng,laki-laki itu tetap memandang
raja ate,besar hati 
damar kambang ghita' mate,lampu gantung belum mati
embu'na cebbing pon dhateng nyello' aeng kalaban eso'on,ibunya si bungsu pun datang ambil air dengan dipikul
ban kata' ganeko gunna olle kole'na ban pellogga pendhanan olle kole'na ban pellogga se palang bila gunna eaterre taena,dan kodok itu hanya mendapatkan kulitnya dan bulunya sepertinya mendapatkan kulitnya dan bulunya yang paling parah kalau hanya diantar tai
palayan tokona ghhi’ tad͎ â’,pelayan tokonya masih tidak ada
ḍu tèghâna ningghâllaghi atè sè kapèncot tarèsna,oh teganya meninggalkan hati yang terpesona akan cinta
angèn ngalesser nylessep ka bhâdhân,angin sepoi-sepoi terasa masuk perlahan-lahan ke tubuh
terro tèdunga neng jiyâ koca'en,ingin tidur di situ katanya
bi-lebbi romana berse tandha satrawi la mare asapowan,terlebih lagi rumahnya bersih tanda satrawi sudah selesai menyapu
oca' sonḍhâ,language sunda
oḍi' atatangghâ mostèna patang ngarghâ,hidup bertetangga semestinya saling menghargai
tellor sè ta’ dhȃddhi buḍu’ ènyamaè,telur yang tidak menetas disebut
nyarè perkara,mencari perkara
bhâsa sè èghuna’aghi èngghi panèka bhâsa enjâ’ iyâ,bahasa yang digunakan adalah bahasa enja' iya
aba'na mangkat abalanja pole,ia pergi belanja lagi
mon èpèkkèr bi' ongghu,kalau dipiki-r dengan sungguh-sungguh
ḍhiḍḍhi' ghâllu,terlalu sedikit
kalaban ngobu ban ngowan sape bakal olle dhukale,dengan memelihara dan membesarkan sapi akan dapat dua kali
